entity_token,in_test_frq,entity_class,in_train_frq,evaluation,model
tel,3,other,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
nutrition,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##e -,2,behavioural,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
tele - nutrition,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
program,2,behavioural,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
tele - nutrition counseling,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
nutrition counseling,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##e - nutrition program,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
tele-nutrition program,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
dietary advice,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
tele-nutrition,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
weight management,2,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
tele-nutrition counseling,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
youate,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
vibration of the plantar surface of the foot,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
peripheral neuropathy,2,condition,4,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
plantar vibration,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
pd,7,condition,79,"{'tp': 7, 'fp': 0, 'fn': 0}",bert-base-uncased
rhythmic auditory cueing,2,other,2,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
beathealth,3,other,0,"{'tp': 1, 'fp': 0, 'fn': 2}",bert-base-uncased
auditory cueing,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
parkinson ' s disease,10,condition,0,"{'tp': 0, 'fp': 10, 'fn': 0}",bert-base-uncased
beathealth device,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
gait auto - rehabilitation program,2,physical,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
beat,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
parkinson's disease,8,condition,83,"{'tp': 0, 'fp': 0, 'fn': 8}",bert-base-uncased
gait auto-rehabilitation program,2,physical,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
trichotillomania,2,condition,3,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
ttm,12,other,3,"{'tp': 9, 'fp': 0, 'fn': 3}",bert-base-uncased
wait list,1,control,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
tt,3,condition,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
web,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
- based self - help,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
stepped care,3,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 2}",bert-base-uncased
stepped care model,2,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
web-based self-help,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
wait list/delayed start,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
depression,2,condition,28,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
interactive website,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
anxiety,2,condition,23,"{'tp': 0, 'fp': 1, 'fn': 1}",bert-base-uncased
in-person habit reversal training,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
psychological treatment,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
##uro,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##anin,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
group treatment,1,behavioural,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
waiting list,1,control,1,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
treatment - as - usual,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
sleep - hygiene based educational course,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
-,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
op,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
ins,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
##omnia,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
insomnia,1,condition,7,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
treatment-as-usual,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
sleep-hygiene based educational course,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
istradefylline,2,drug,2,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
advanced parkinson ' s disease,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
levodopa,2,condition,12,"{'tp': 0, 'fp': 1, 'fn': 1}",bert-base-uncased
kw - 6002,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
kw-6002,1,drug,1,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
advanced parkinson's disease,1,condition,1,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
seizure,4,condition,9,"{'tp': 1, 'fp': 1, 'fn': 2}",bert-base-uncased
diazep,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
video reviewing,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
seizure rm,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
seizure rms,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
improvement,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
simulation training,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##e,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
educational video reviewing rm administration,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
emergent seizure,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
educational program,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
simulation training model/mannequin for rectal diazepam administration,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
caregiver education in a simulation setting,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
educational quality improvement program,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
vagus nerve stimulation,2,other,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
prolonged covid,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
post covid syndrome,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
bilateral auricular transcutaneous vagus nerve stimulation,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
left ear transcutaneous vagus nerve stimulation,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
t - vns method,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
post covid - 19 syndrome,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
vagal stimulation,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
post covid-19 syndrome,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
vagal stimulation with the t-vns method,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
ophthalmic surgery,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
remimazolam,4,drug,0,"{'tp': 4, 'fp': 0, 'fn': 0}",bert-base-uncased
emergence agitation,2,condition,3,"{'tp': 1, 'fp': 1, 'fn': 0}",bert-base-uncased
sevoflurane,2,drug,3,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
##voflurane,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##tion,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
rc,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
se,1,drug,2,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
flumazen,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
benzodiazepines,2,drug,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
agitation,4,condition,2,"{'tp': 3, 'fp': 0, 'fn': 1}",bert-base-uncased
meningiomas,3,condition,0,"{'tp': 3, 'fp': 0, 'fn': 0}",bert-base-uncased
- dotatate,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
gall,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
tumor,9,condition,18,"{'tp': 6, 'fp': 3, 'fn': 0}",bert-base-uncased
##ium ga 68,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
- dot,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
dotata,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
gallium ga 68 -,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
postherpetic neuralgia,2,condition,6,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
phn,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
ngx - 4010,2,drug,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
ngx-4010,2,drug,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
coronary artery disease,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
arrhythmia,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
coronary bypass surgery,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
cad,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
cerebral artery stenosis,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
cas,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
ischemic stroke,2,condition,6,"{'tp': 1, 'fp': 1, 'fn': 0}",bert-base-uncased
par,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
cab,3,condition,8,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
##aneous coronary intervention,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##aneous coronary,1,surgical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##yt,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##oxysmal atrial fibrillation,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
pci,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
paroxysmal arrhythmia,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
cabg,2,condition,1,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
24-hour simultaneous recorder of electrocardiograph and electroencephalography,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
paroxysmal atrial fibrillation,1,condition,1,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
prevention of ischemic stroke and cognition decline,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
percutaneous coronary intervention,2,condition,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
cerebral embolism,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
perioperative arrhythmia,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
post-cabg neurological complications,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
fshd,1,condition,2,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
epa,1,drug,4,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
##md,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##gmd,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
md,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
dha -,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##ids,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
l,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
d,4,condition,0,"{'tp': 0, 'fp': 4, 'fn': 0}",bert-base-uncased
omega3s -,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##avonoidi,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
fl,3,drug,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
##avonoids,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##av,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
lgmd,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
muscular pain,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
flavonoids-,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
omega3s,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
mds,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
flavonoids,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
dmd,1,condition,7,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
dha-,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
inflammation,1,condition,1,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
resistance exercise,4,physical,1,"{'tp': 3, 'fp': 1, 'fn': 0}",bert-base-uncased
resistance exercise program,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
sarcopenia,3,condition,8,"{'tp': 2, 'fp': 0, 'fn': 1}",bert-base-uncased
general recommendations,2,control,0,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
sar,3,condition,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
sarcope,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
recommendations,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
sarcopenic,3,condition,1,"{'tp': 0, 'fp': 0, 'fn': 3}",bert-base-uncased
program of resistance exercise,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
isms,2,other,0,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
intraspinal micro-stimulation,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
spinal cord injured,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
focal activation of intraspinal circuitry,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
paralyzed,2,condition,1,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
dexamethazone,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
postdural puncture headache,1,condition,2,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
dexamethazzoe,1,drug,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
heavy,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
bupivac,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
limb surge,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
spinal anethesia,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
heavy bupivacaine,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
lower abdominal,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
lower abdominal and lower limb surgeries,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
pregabalin,2,drug,4,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
partial seizures,2,condition,1,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
pre,10,condition,0,"{'tp': 0, 'fp': 10, 'fn': 0}",bert-base-uncased
##gabalin,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
transcranial direct current stimulation,2,other,20,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
tdcs,2,other,34,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
arm rehabilitation training,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
rehabilitation training,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
rtp,4,physical,0,"{'tp': 0, 'fp': 2, 'fn': 2}",bert-base-uncased
post stroke,1,condition,7,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
non - invasive brain stimulation,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
unila,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
spatial neglect,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##teral spatial neglect,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##teral,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
repetitive task - specific practice,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
task - specific practice,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
unilateral spatial neglect,2,condition,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
repetitive task-specific practice,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
non-invasive brain stimulation,1,other,3,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
task-specific practice,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
drug resistant epilepsy,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
dre,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
##llus,1,surgical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
gaba,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
lactobacillus probiotic,2,other,0,"{'tp': 0, 'fp': 1, 'fn': 1}",bert-base-uncased
lactobaci,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
lactobacillus,2,other,0,"{'tp': 0, 'fp': 1, 'fn': 1}",bert-base-uncased
lac,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
pro,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
probiotic bacteria,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
probiotic treatment,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
epileptic,2,condition,1,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
probiotics,1,other,2,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
lactobacillus population,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
dysbiosis,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
robotic assisted locomotor training,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
conventional,3,control,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
robotic - assisted gait,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##omat,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
stroke attack,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
gait training,2,physical,3,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
congestive heart failure,1,condition,1,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
robot - assisted locomotor training,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##ic,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
lok,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##tory hem,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
subacute post - stroke,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
gait,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
conventional gait training,4,control,0,"{'tp': 0, 'fp': 1, 'fn': 3}",bert-base-uncased
ndt,3,control,0,"{'tp': 0, 'fp': 1, 'fn': 2}",bert-base-uncased
lokomat,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
neurodevelopmental treatment,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
robotic-assisted gait therapy,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
robot-assisted locomotor training,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
subacute post-stroke non-ambulatory hemiplegic,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
first-ever stroke,1,condition,1,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
multiple sclerosis,4,condition,47,"{'tp': 4, 'fp': 0, 'fn': 0}",bert-base-uncased
exercise and educational classroom program,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
educational classroom program,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
comprehensive fall prevention,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
exercise,9,physical,16,"{'tp': 0, 'fp': 3, 'fn': 6}",bert-base-uncased
supervised aerobic exercise program,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
minor ischemic stroke,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
early,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
hearing loss,3,condition,7,"{'tp': 3, 'fp': 0, 'fn': 0}",bert-base-uncased
"symmetric, sensorineural hearing loss",1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
##sbycusis,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##sbyacus,3,condition,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
##sbyacusis,4,condition,0,"{'tp': 0, 'fp': 4, 'fn': 0}",bert-base-uncased
age -,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
- based activities,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
nature,2,physical,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
visits,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
open label,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
nature - based park visit program,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
park visits,12,other,0,"{'tp': 0, 'fp': 4, 'fn': 8}",bert-base-uncased
park,2,physical,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
nature connections park visit program,2,other,0,"{'tp': 0, 'fp': 1, 'fn': 1}",bert-base-uncased
nature-based activities,2,other,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
nature-based park visit program,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
weekly telephone/internet support meetings,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
mindfulness based stress reduction,1,behavioural,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
meditation,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
mb,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##sr,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
mind,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##fulness,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
mbsr,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
mindfulness meditation,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
cancer,2,condition,14,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
primary central nervous system tumors,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
central nervous system tumors,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
blz - 100,3,drug,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
blz-100,3,drug,0,"{'tp': 0, 'fp': 0, 'fn': 3}",bert-base-uncased
cardiac surgery,2,condition,2,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
multimodal analgesia,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
traditional opiate based analgesia,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
conventionel opiod analgesia,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
multimodal opiate-sparing analgesia,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
early to moderate hd,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
hd,8,condition,4,"{'tp': 7, 'fp': 0, 'fn': 1}",bert-base-uncased
huntington ' s disease,4,condition,0,"{'tp': 0, 'fp': 4, 'fn': 0}",bert-base-uncased
replacement therapy,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
huntington's disease,4,condition,3,"{'tp': 0, 'fp': 0, 'fn': 4}",bert-base-uncased
