"nct_id","conditions","intervention_types","intervention_names"
NCT02808338,Sleep Apnea Syndromes,Device,Modified Philips BiPAP ASV|Philips BiPAP AutoSV Advanced System One|ResMed S7 VPAP Adapt|ResMed S9 VPAP Adapt
NCT02811614,"Intracranial Hemorrhage, Hypertensive",Procedure,Craniotomy|Endoscopic Evacuation|Stereotactic Aspiration
NCT02815878,Multiple Sclerosis|Muscular Dystrophy|Post-polio Syndrome|Spinal Cord Injury,Behavioral,Enhance Wellness
NCT02823158,Basal Ganglia Disease|Central Nervous System Disease|Movement Disorders|Neurodegenerative Disorders|Parkinson Disease,Procedure,Best medical treatment|Deep brain stimulation (DBS) of Globus Pallidus internus (GPi) and Best medical treatment (BMT)
NCT02835443,Stroke,Device,Deep Brain Stimulation
NCT02837822,Chronic Pain|Complex Regional Pain Syndrome|Failed Back Surgery Syndrome,Device|Procedure,Implantation of a spinal cord stimulator|Spinal cord stimulator
NCT02875054,Hemiplegia|Neurological Injury,Behavioral,Constraint induced movement therapy (CIMT)|Hand-arm bimanual intensive training (HABIT)
NCT02876536,Cognitive Disorders|Multiple Sclerosis,Device,TENS
NCT02879591,Schizophrenia,Other,Social Skills training with Avatar therapist
NCT02897024,Cerebral Palsy,Other,Physical Therapy
NCT02910024,Stroke,Device,"Magstim Super Rapid2 System, intermittent theta-burst-stimulation (iTBS) protocol|Magstim Super Rapid2 System, sham-stimulation (in iTBS)"
NCT02922894,Sleep Apnea|Spinal Cord Injury,Procedure,Acute episodic hypoxia|Sham|Supplemental oxygen
NCT02925871,Stroke,Behavioral,Co-designed person-centred care transitions|Current care transitions
NCT02928848,Primary Progressive Aphasia,Device,transcranial direct current stimulation
NCT02945501,Mental Competency|Sleep Deprivation,Device,NeuroConn DC Stimulator PLUS|SHAM TES
NCT02947490,Stroke,Other,Self BP measurement|Standard BP management|Standard Care|Treatment
NCT02979925,Neuropathic Pain,Device,Active Transcutaneous Magnetic Stimulation|Sham Transcutaneous Magnetic Stimulation
NCT02982135,Moyamoya Disease,Other,bypass surgery and indrect bypass surgery
NCT02990910,Analgesia,Device,conventional opioid analgesia
NCT03004573,Parkinson Disease,Other,Neuropsychological detailed tests with focus on social cognition
NCT03005249,Cerebral Palsy,Other|Procedure,neural stem cells therapy group|the control group
NCT03007628,Schizophrenia,Device|Other,Magpro X100|ThymatronSystem Ⅳ Electroconvulsive System|Treatment as usual (TAU)
NCT03025230,"Muscle Pain|Myofascial Pain Syndrome|Trigger Point Pain, Myofascial",Other,Dry needling|Dry needling and electric stimulation
NCT03025464,Obstructive Sleep Apnea,Device,Obstructive Sleep Apnea Screening Device
NCT03031223,Spinal Cord Injuries,Radiation,low-level laser therapy
NCT03035162,Stroke,Device,Transcranial direct current stimulation
NCT03048968,Healthy|Stroke,Device|Procedure,"Gait, sit-to-stand movement, stair climbing and treadmill gait|Sit-to-stand movement and treadmill gait|gait enhancing mechatronic system (GEMS)|treadmill"
NCT03079960,Parkinson Disease,Device,Electrophysiological recording and measurement devices
NCT03088592,Parkinson Disease,Device,Deep Brain Stimulation
NCT03098732,"Cerebrovascular Disorders|Infarction, Middle Cerebral Artery|Intracranial Embolism and Thrombosis|Neurologic Disorder|Stroke, Acute|Stroke, Ischemic|Strokes Thrombotic",Device,MED Workstation Magnet Sham Control|Magnetically Enhanced Diffusion (MED)
NCT03104725,Cerebrospinal Fluid|Parkinson Disease,Procedure|Radiation,Fluoroscopy|Lumbar Puncture
NCT03109418,Obstructive Sleep Apnea|Postoperative Complications|Sleep Apnea,Procedure,Control
NCT03111277,Phantom Limb Pain|Severe Neuropathic Pain Due to Radiculopathy or Radicular Injury|Spinal Cord Injuries,Device,Experimental: ExAblate Transcranial treatment
NCT03127514,Amyotrophic Lateral Sclerosis|Central Nervous System Diseases|Motor Neuron Disease|Nervous System Diseases|Neurodegenerative Diseases|Neuromuscular Diseases|Spinal Cord Diseases|TDP-43 Proteinopathies,Other,Placebo
NCT03137147,Headache Disorders|Insomnia|Migraine Disorders,Behavioral,Intervention for Sleep and Pain in Youth
NCT03148262,Colonoscopy|Desaturation of Blood|High Flow Nasal Cannula|Obesity|Sleep Apnea,Device,The Comfort Flo system|The Salter nasal cannula
NCT03152136,Essential Tremor,Device,Cala ONE device
NCT03153254,Stroke,Device,Test upper limb robot assisted therapy device|Training with new upper limb robot assisted therapy device
NCT03163901,Headache|Traumatic Brain Injury|Vestibular Disorder,Other,Osteopathic Manipulative Treatment
NCT03164161,"Hyperalgesia|Pain Insensitivity, Congenital",Device|Other,Cold pressor test|β-endorphins evaluation in blood plasma|β-endorphins evaluation in saliva
NCT03167138,Rotator Cuff Impingement Syndrome|Rotator Cuff Syndrome of Shoulder and Allied Disorders|Rotator Cuff Tendinitis|Shoulder Impingement Syndrome|Shoulder Pain|Spinal Cord Injuries,Device,Lipogems system
NCT03168373,Language|Rehabilitation|Stroke,Procedure,language rehabilitation therapy
NCT03172663,Hearing Loss,Device,pure tone audiometry
NCT03178786,Parkinson Disease,Behavioral,PAT sessions
NCT03185234,Apraxia|Stroke,Device,anodal tDCS|sham tDCS
NCT03195049,Kernicterus,Diagnostic Test,"blood group,complete blood count"
NCT03196739,Brain Diseases|Upper Extremity Dysfunction,Device,Virtual rehabilitation
NCT03199833,Stroke,Device|Other,Conventional therapy|RETRAINER-S2
NCT03213730,Brain Concussion|Concussion|Post-Concussion Symptoms,Other,"3D-MOT Neurotracker|Visual Attention Intervention"
NCT03227783,Parkinson's Disease,Device,transcranial direct current stimulation (tDCS)
NCT03234426,Stroke,Other,Conventional Physiotherapy Treatment|Perturbation
NCT03244540,"Cesarean Section|Pain, Neuropathic|Pain, Postoperative",Device|Procedure,PCA (patient controlled analgesia)|QLB (quadratus lumborum block)|Stimuplex Ultra 360 needle|TAP (transversus abdominis plane block)|subarachnoid anesthesia
NCT03256851,Fatigue|Multiple Sclerosis|Physical Activity,Behavioral,In-Person Delivered Exercise Therapy|Telephone-Delivered Exercise Therapy
NCT03259373,Atrial Fibrillation|Stroke,Behavioral,Delayed Provider-Level Educational Intervention|Early Patient-Level and Provider-Level Educational Intervention
NCT03261726,Acoustic Neuroma|Labyrinthitis Ossificans|Profound Hearing Impairment,Device,MedEl Test Electrode Placer
NCT03277534,Stroke,Other,Electrical stimulation|Sham electrical stimulation
NCT03284606,Hemiplegia,Device|Procedure,Common rehabilitation|TAPING
NCT03295786,Brain Diseases|Movement Disorders|Nervous System Diseases|Neurodegenerative Diseases|Parkinson Disease,Device,Renishaw Drug Delivery System
NCT03299335,Inclusion Body Myositis,Other,Blood collection
NCT03315637,"Chiari Malformation Type 2|Congenital Abnormality|Fetal Disease|Hydrocephalus|Myelomeningocele|Neural Tube Defects|Spina Bifida, Open|Surgery; Maternal, Uterus or Pelvic Organs, Affecting Fetus",Procedure,Fetoscopic repair of spina bifida
NCT03319771,Cognitive Change|Memory Impairment|Multiple Sclerosis|Physical Activity,Behavioral,Stretching-and-toning Exercise Training|Treadmill Walking Exercise Training
NCT03320681,Parkinson Disease,Device|Other,Dry Needling Stimulation|Electrical Stimulation
NCT03327493,"Autonomic Nervous System Diseases|Extra-Corporeal-Life-Support ( ECLS)|Inflammation|Shock, Cardiogenic",Diagnostic Test,Biological
NCT03350464,Neuropathic Pain|Pain|Parkinson Disease,Device,Repetitive Transcranial Magnetic Stimulation
NCT03354806,Diabetic Foot Infection|Diabetic Neuropathy Peripheral|Neuropathic Pain,Procedure,Analgesic treatment|Continuous peripheral nerve blocks
NCT03357029,Neuropathic Pain|Painful Chronic Pancreatitis|Visceral Pain,Device,GammaCore Device|Sham Device
NCT03371706,Primary Progressive Aphasia,Behavioral,Communication Bridge™|Evidence-Based Impairment Focused
NCT03385291,Disorder of Consciousness,Device,"music,name,and noise sound"
NCT03396939,Brain Diseases|Brain Ischemia|Central Nervous System Diseases|Cerebral Infarction|Cerebrovascular Disorders|Nervous System Diseases|Stroke|Vascular Diseases,Device,Orthosis
NCT03408535,Hearing Loss,Other,Eriksholm Guide to Better Hearing
NCT03433859,Hyperhidrosis|Residual Limbs,Other,Topical Aluminium Chloride (cosmetic product)
NCT03435731,Obstructive Sleep Apnea,Combination Product,Dual Therapy
NCT03441867,"Conversion Disorder|Epilepsy|Head Injury|Magnetic Resonance Imaging|Non-Epileptic Seizure|Seizure Disorder|Seizure Disorder, Post Traumatic|Traumatic Brain Injury",Behavioral|Other,Cognitive Behavioral Therapy for Seizures|Standard Medical Care
NCT03442868,Stroke,Device,high frequency rTMS
NCT03446833,Parkinson Disease,Device,The LFP Beta aDBS System
NCT03452007,Spinal Cord Injuries,Device,Epidural Stimulation
NCT03472183,Alzheimer Disease,Other,biopsies of colon
NCT03478059,"Brain Injury Traumatic Mild|Concussion, Brain",Behavioral,Cognitive and Motor Dual-task Intervention
NCT03488381,"Trauma, Head",Device,Soccer Heading
NCT03493321,Neuritis,Other,PRF with Theracal
NCT03495089,"Diabetes Mellitus, Type 2|Neuropathy, Diabetic",Diagnostic Test,Monofilament testing|dermal electrochemical conductance (DEC)
NCT03506906,Chronic Obstructive Pulmonary Disease|Hypoventilation Syndrome|Neuromuscular Diseases|Obesity Hypoventilation Syndrome|Restrictive Lung Disease,Diagnostic Test,Routine tests|Sleep studies under noninvasive ventilation therapy
NCT03517657,Stroke,Behavioral,Bilateral Motor Priming + Task Specific Training (BMP + TST)|Control Priming + TST (CP + TST)
NCT03517709,Hypertension|Stroke,Device|Other,Primary Care Physician Management of blood pressure|Withings Smart Blood Pressure Monitor
NCT03526991,Parkinson Disease,Device,Spinal Cord Stimulator (SCS)
NCT03543878,Alzheimer Disease,Device,Flicker
NCT03549793,Parkinson Disease,Behavioral,Dance Therapy|exercises without dance
NCT03554226,Alzheimer Disease,Behavioral,NeuroPsychiatric Inventory Clinician (NPI-C)
NCT03562286,Myelomeningocele,Procedure,Fetoscopy
NCT03567213,Amyotrophic Lateral Sclerosis|Brainstem Stroke|Locked-in Syndrome|Tetraplegia,Device,Surgical implantation of CortiCom system
NCT03567239,Brain Injuries|Disability Physical|Multiple Sclerosis|Paralysis|Spinal Cord Injuries|Stroke,Device,Using adaptive device.
NCT03576976,Schizoaffective Disorder|Schizophrenia,Behavioral,Cognitive Remediation
NCT03592394,Neuropathic Pain|Spinal Cord Injuries,Device,Immersive Virtual Reality (Gear VR)
NCT03593330,"Aneurysm|Brain Cancer|Brain Cyst|Brain Diseases|Brain Lesion|Brain Metastases|Brain Pathology|Brain Tumor|Brain Tumor, Recurrent|Chiari; Net|Fusion of Spine|Hydrocephalus|SPINAL Fracture|Skull Injuries|Spinal Cord Neoplasms|Spinal Curvature|Spinal Diseases|Spinal Fusion|Spinal Instability|Spinal Stenosis|Surgery|Trigeminal Neuralgia",Other,Transitional Care Programme
NCT03601494,Chronic Pain|Diabetic Neuropathies,Other,perineural injection of platelet-rich plasma
NCT03622840,Cognitive Impairment|Parkinson Disease,Behavioral,Cognitive Remediation
NCT03628261,Cerebral Palsy,Device|Other,Serious Game|physical therapy
NCT03642951,Tourette Syndrome,Device,Active Treatment|Sham Treatment
NCT03654014,Traumatic Brain Injury,Device,SofPulse
NCT03671889,Alzheimer Disease,Device,Blood Brain Barrier (BBB) Disruption
NCT03686423,Diabetes|Peripheral Neuropathy,Procedure,Exercise Program
NCT03716206,Shoulder Pain|Stroke,Device|Other,Exergame|Physical therapy
NCT03736291,Schizophrenia,Device,Repetitive transcranial magnetic stimulation
NCT03753503,Parkinson Disease|Physical Activity,Behavioral,conventional physical therapy|exercise
NCT03754270,Obstructive Sleep Apnea,Device|Other,Advice in lifestyle|Cervical collar
NCT03766711,Acquired Brain Injury|Cerebral Palsy|Hemiparesis,Other,Physical Therapy
NCT03771417,Aging|Cardiovascular Diseases|Diabetes Mellitus|Disability Physical|Insulin Resistance|Sarcopenia,Behavioral,Exercise Intervention
NCT03779308,Cerebral Palsy|Dystonia,Device,whole body vibration therapy
NCT03780855,Peripheral Nerve Injuries,Device,nerve scaffold
NCT03786341,Stroke,Device,with auxiliary illuminator
NCT03787693,Stroke,Behavioral,VR - Virtual Reality
NCT03792061,Cognitive Impairment|Stroke,Behavioral,Strategy Training
NCT03799887,Parkinson Disease,Behavioral,"0% unweighed BWSTT|10% unweighed BWSTT|20% unweighed BWSTT"
NCT03808467,Anorexia Nervosa|Binge-Eating Disorder|Bulimia Nervosa|Feeding and Eating Disorders,Behavioral|Other,Cognitive Remediation Therapy|Treatment as usual
NCT03815266,Stroke,Diagnostic Test,Abilhand questionnaire|Ashworth's scale|Computerized Mirror Therapy (CMT)|Frenchay arm test|Fugl-Meyer test|Goal Attainment Scaling (GAS)|Tolerance Assessment Questionnaire|transcranial Direct Current Stimulation (tDCS)
NCT03817385,Stroke,Device,repetitive TMS|robotic GT
NCT03822286,Dementia,Other,Support group|e-training course|traditional classroom teaching course programs
NCT03833349,Parkinson Disease,Behavioral,Dance Class|Spinning Class|Yoga Class
NCT03838770,Multiple Sclerosis,Device,Active tDCS|sham tDCS
NCT03840265,Carotid Artery Plaque|Carotid Stenosis|Cerebrovascular Embolism and Thrombosis,Procedure,carotid endarterectomy
NCT03857243,Hemiparesis|Hemorrhagic Stroke,Device,dual transcranial direct current stimulation
NCT03859063,Stroke,Behavioral,Control|Intervention
NCT03860298,"Drug Refractory Epilepsy|Drug Resistant Epilepsy|Epilepsy, Drug Refractory|Epilepsy, Drug Resistant|Epilepsy, Intractable|Intractable Epilepsy|Medication Resistant Epilepsy|Refractory Epilepsy",Device,NaviFUS System
NCT03863678,CVA (Cerebrovascular Accident)|Stroke,Other,Neurodevelopemental therapy (NDT)|Neurodevelopemental therapy (NDT) and dry needling
NCT03881449,Bi-Polar Disorder|Major Depressive Disorder|Schizo Affective Disorder|Schizophrenia,Combination Product,ABILIFY MYCITE
NCT03881579,Dementia,Behavioral,nurse-led supportive care assessment
NCT03883217,Parkinson Disease,Device,PDVibe2
NCT03885674,"Brain Injuries, Traumatic|Cognitive Impairment|Medication Adherence|Medication Compliance|Stroke|Stroke, Acute",Other,Automated Text Message Reminder Condition|Video Call Reminder Condition
NCT03886675,Neurocognitive Dysfunction|Silent Cerebral Infarction|Stroke|Vascular Brain Injury,Other,CO2 flushing|Saline flushing
NCT03887000,Fibromyalgia,Other,magnesium|placebo
NCT03888118,Stroke,Device,Luna EMG
NCT03888287,Parkinson Disease,Device|Other,Parkinson's Disease Inpatient Clinical Knowledge and Management Program|Watch Rx system
NCT03898375,Stroke,Other,Walking with different optic flow speeds
NCT03900247,Amyotrophic Lateral Sclerosis,Device,REMAP EEG based BCI and SEM-Glove BioServo
NCT03901261,Alzheimer Disease|Down Syndrome,Procedure,"Neuro-imaging, Lumbar puncture"
NCT03905031,"Craniocerebral Injuries|Head Injuries|Head Injury, Minor|Head Trauma|Hematoma of Head|Intracranial Hemorrhages|Traumatic Brain Hemorrhage|Traumatic Brain Injury",Device,InfraScanner 2000
NCT03915028,Multiple Sclerosis,Other,Spa therapy
NCT03926832,"Fatigue|Sarcoidosis|Sleep Apnea, Obstructive",Device,Continuous Positive Airway Pressure (CPAP)
NCT03933696,Alzheimer Disease|Mild Cognitive Impairment|Type2 Diabetes,Device,Tailored Lighting Intervention
NCT03937297,Dementia,Behavioral,Cognitive Stimulation Therapy (CST)|Six Arts|Usual Care
NCT03937492,CRPS (Complex Regional Pain Syndromes)|Distal Radius Fracture|Surgery|Wrist Fracture,Other,GMI protocol|Standard Rehabilitation Protocol
NCT03939780,Alzheimer Disease|Healthy,Diagnostic Test,[F18]AV1451|[F18]MK-6240|[F18]RO-948
NCT03941067,Neuromuscular Diseases,Other,Pre-event massage
NCT03941119,Delirium Superimposed on Dementia|Dementia,Other,VR-therapy
NCT03955432,Epileptic Encephalopathy|Focal Epilepsy|Generalized Epilepsy|Intractable Epilepsy|Lennox Gastaut Syndrome|Symptomatic Epilepsy,Device,Reveal LINQ ICM System
NCT03957122,Tinnitus,Device,repetitive transcranial magnetic stimulation
NCT03966144,Deafness|Hearing Impairment,Device,RoboHear Device
NCT03967626,Brain Injuries,Device,external cooling with the xxxxx device
NCT03974620,Psychosis|Schizoaffective Disorder|Schizophrenia|Schizophreniform Disorders,Behavioral,Cognitive Remediation Therapy|Individual Placement and Support
NCT03974997,Multiple Sclerosis,Diagnostic Test,Determination of the circulating serum concentration of cytoquine TWEAK
NCT03975400,First Episode Psychosis|Schizophrenia,Behavioral,search engine advertisement campaign
NCT03978572,Aging|Disability Physical|Sarcopenia,Behavioral,High-Intensity Interval Cycling|Moderate-Intensity Continuous Cycling|Resistance Training
NCT03984396,Dementia,Other,Educational Materials - Patient & Clinician
NCT03997058,Renal Dialysis|Sleep Initiation and Maintenance Disorders,Other,Auricular point pressure therapy
NCT04006925,Parkinson Disease|REM Sleep Behavior Disorder,Other,Placebo
NCT04011202,"Stroke|Stroke Hemorrhagic|Stroke, Ischemic|Stroke, Lacunar",Behavioral,Virtual reality gaming program (VR-gaming program)
NCT04011787,Dysphagia|Stroke,Diagnostic Test|Radiation,Chest X-ray|Continuous Glucose Monitoring|Metabolic Profile
NCT04032431,Multiple Sclerosis,Behavioral,Telerehab VR intervention
NCT04048265,Pain|Parkinson Disease|Transcranial Magnetic Stimulation,Device,Repetitive Transcranial Magnetic Stimulation
NCT04055987,Hearing Impairment,Behavioral,"Visual biofeedback, auditory feedback and models"
NCT04065113,Chronic Subdural Hematoma,Procedure,Drainage of Subdural Hematoma|Middle Meningeal Artery Embolization with polyvinyl alcohol particles (PVA)
NCT04068467,Bipolar Disorder|Major Depressive Disorder|Schizoaffective Disorder|Schizophrenia,Other,Smartphone App|Waitlist Control
NCT04073667,Arnold Chiari Malformation,Behavioral,Exercise
NCT04089696,Amyotrophic Lateral Sclerosis|Neuromuscular Diseases,Device,ExSprion
NCT04096014,Hepatic Encephalopathy,Other,Standard Of Care
NCT04110561,"Lower Extremity|Paralysis, Lower Limbs|Paraplegia|Robotics|Spinal Cord Injuries",Device,Use of the Atalante exoskeleton
NCT04122989,Multiple Sclerosis,Other,MS-SUPPORT
NCT04128397,Tic Disorders|Tourette Syndrome,Device,precise stimulation site cTBS|traditional stimulation site continuous theta burst stimulation (cTBS)
NCT04138953,Brain Injuries,Device|Other,Sham TMS|Transcranial Magnetic Stimulation (TMS)
NCT04139486,Intracranial Thrombosis,Procedure,Contact Aspiration alone|combined EMBOTRAP II or III and Contact Aspiration
NCT04141891,Acute Coronary Syndrome|Arthritis|Brain Injuries|Chronic Obstructive Pulmonary Disease|Congestive Heart Failure|Dementia|Diabetic Retinopathy|Dizziness|End Stage Renal Disease|Foot--Abnormalities|Glaucoma|Hypertrophic Obstructive Cardiomyopathy|Implantable Defibrillator User|Insomnia|Insulin Dependent Diabetes Mellitus|Macular Degeneration|Multiple Sclerosis|Narcolepsy|Obstructive Sleep Apnea|Orthostatic Hypotension|Parkinson Disease|Presyncope|Restless Legs Syndrome|Retinitis Pigmentosa|Seizures|Sleep Apnea|Spinal Cord Injuries|Stroke|Substance Use|Syncope|Vertigo|Vision Disorders,Behavioral,Driving Decision Aid|Older Drivers Website
NCT04145674,Restless Legs Syndrome,Other,Placebo
NCT04149769,Spinal Cord Injury,Device,Indego Exoskeleton
NCT04172376,Basal Ganglia Hemorrhage,Procedure,Minimally invasive puncture aspiration plus rt-PA
NCT04181229,"Epilepsy, Drug Resistant",Procedure,Deep brain stimulation
NCT04202783,Neuralgia,Other,Exosomes
NCT04215939,Paraplegia|Spinal Cord Injuries,Behavioral,Cold environment healthy female participants|Cold environment healthy male participants|Cold environment participants with spinal cord injury|Thermoneutral environment healthy female participants|Thermoneutral environment healthy male participants|Thermoneutral environment participants with spinal cord injury|Warm environment healthy female participants|Warm environment healthy male participants|Warm environment participants with spinal cord injury
NCT04226547,Atrial Fibrillation|Bleeding|Stroke,Device,Left Atrial Appendage Occlusion (Amplatzer Amulet LAA Occluder)
NCT04227132,"Attention Impaired|Cerebrovascular Disorders|Neglect, Hemispatial|Spatial Neglect|Stroke",Device,Adaptive computer game training|Standard computerized training
NCT04232605,"Headache, Migraine",Other,GLP-1 peptide|Placebo
NCT04235374,Acute Medical Event|Dementia|Hospitalization,Behavioral,FFC-AC-EIT
NCT04238000,"Gait Disorders, Neurologic|Gait, Festinating|Parkinson|Parkinson Disease|Parkinsonism",Device,repetitive transcranial magnetic stimulation
NCT04238520,Cognitive Impairment|Dementia,Behavioral,Control Intervention|Functionally Tailored Oral Care Intervention
NCT04261452,CHF|COPD|Muscle Weakness,Diagnostic Test,Anthropometry and Body Composition|Cardiopulmonary Exercise Test|Doppler Echocardiography|Functional Capacity Tests|Lung Function Test|isokinetic dynamometer
NCT04266158,Paresis|Stroke,Device,Myoelectric UE Device-UE Orthosis-No Device
NCT04266639,"Central Nervous System Diseases|Cerebrovascular Disorders|Ischemic Stroke|Stroke, Acute",Device,Remote Ischemic Conditioning|Sham Remote Ischemic Conditioning
NCT04270955,Chronic Subdural Hematoma|Subdural Hematoma,Procedure,Embolization of the Middle Meningeal Artery|Standard of care including possible surgical evacuation of subdural hematoma
NCT04287023,Parkinson Disease,Other,group physical therapy|individual physical therapy
NCT04314076,"Gait Disorders, Neurologic|Multiple Sclerosis",Other,Gait Training|Rhythmic auditory stimulation
NCT04320108,"Brain Damage, Hypoxic|Brain Tumor|ICH|Stroke",Device,Extracorporeal shockwave therapy
NCT04325100,Bipolar Disorder|Major Depressive Disorder|Schizo Affective Disorder|Schizophrenia,Behavioral,Switch - Group programme|Switch - Individual sessions
NCT04329247,Carpal Tunnel Syndrome,Other,Median nerve neural mobilization
NCT04331392,"Brain Injuries, Traumatic|Brain Injury Traumatic Moderate|Brain Injury Traumatic Severe|Brain Injury, Chronic",Behavioral,Educational Videos|Spatial Navigation Intervention
NCT04344626,"Epilepsy|Focal Cortical Dysplasia|Gliosis|Hemimegalencephaly|Polymicrogyria|Rasmussen Encephalitis|Stroke|Sturge-Weber Syndrome|Tuberous Sclerosis|Tumor, Brain",Device,Intra-operative brain tonometry
NCT04350775,Schizophrenia,Other,General community rehabilitation|RE-IADL
NCT04355299,Sarcopenia,Behavioral,aerobic exercise|balance training|resistance training|usual care
NCT04364854,Aphasia|Aphasia Non Fluent|Stroke,Behavioral|Other,No Therapy 6 Weeks|SET (Speech Entrainment Therapy) 3 weeks|SET (Speech Entrainment Therapy) 4.5 weeks|SET (Speech Entrainment Therapy) 6 weeks
NCT04384328,Language Development Disorders|Preterm Birth,Other,Early Support Programme in Orthophony
NCT04388592,Multiple Sclerosis|Nurse's Role,Other,Nurse Practitioner (NP) Led Care Arm
NCT04390009,Multiple Sclerosis,Diagnostic Test,Entire-body PET-CT scans
NCT04408274,Multiple Sclerosis|Traumatic Brain Injury,Behavioral,Emotional Processing Training|Placebo Control
NCT04420949,Dizziness|Motion Sickness|Vertigo,Behavioral,Sensory re-weighting
NCT04430309,Schizophrenia,Behavioral,Baduanjin exercise program|Brisk walking program
NCT04435301,Consciousness Disorder,Device,"DC-Stimulator, NeuroConn, Germany"
NCT04436523,"Atrophy, Muscular|Meniscus Disorder|Meniscus Lesion|Meniscus Tear, Tibial|Meniscus, Torn Tibial",Device|Other,Blood flow restriction (Delfi Personalized Tourniquet System)|Standard rehabilitation
NCT04441190,Central Nervous System Diseases|Cerebrovascular Disorders|Stroke,Behavioral,Conventional Occupational Therapy|Digital Action Observation Therapy (Digital AOT)|Digital Mirror Therapy (Digital MT)
NCT04468750,"Stroke|Subluxation, Glenohumeral",Device,kinesiotape
NCT04482842,Stroke,Device,"Gene detection (CYP2C9*3, VKORC1)"
NCT04495686,"Alzheimer Disease|Dementia Mild|Dementia Moderate|Dementia, Mixed|Traumatic Brain Injury",Behavioral,Telehealth-delivered Care Coordination Program
NCT04499508,"Aneurysm|Cerebral Aneurysm Unruptured|Intracranial Aneurysm|Ruptured Aneurysm|Subarachnoid Hemorrhage, Aneurysmal",Device,Optima Coil System
NCT04515407,Gait Dysfunction|Hemiparesis|Stroke,Other,PAS - Active|PAS - Walking|PAS at Rest
NCT04524039,"Depression, Anxiety|Multiple Sclerosis",Device,intermittent theta burst stimulation using a MagPro X100|sham intermittent theta burst stimulation using a MagPro X100
NCT04524338,Alzheimer Disease,Device,Transcranial Direct Current Stimulation
NCT04524377,Parkinson Disease|Spinal Disease|Spine Deformity|Spine Degeneration,Procedure,Deep Brain Stimulation
NCT04550728,Stroke,Combination Product,Ankle robot training and functional electrical stimulation(FES) group|Ankle robot training group
NCT04566081,Anomia|Aphasia|Stroke,Other,iTALKbetter: deterministic|iTALKbetter: reactive
NCT04570215,Alzheimer Disease|Anomia|Dementia,Other,Gotcha Therapy application: Maintenance|Gotcha! Therapy application
NCT04573387,"Hematoma, Subdural, Chronic",Procedure,Exhaustive drainage|Fixed-time drainage|Operation|Postoperative computed tomography
NCT04591288,Cerebral Palsy|Gait|Spastic Diplegia Cerebral Palsy,Other,Functional Electrical Stimulation protocol|Treadmill only protocol
NCT04593875,Parkinson Disease,Device,Active LIFUP Treatment|Sham LIFUP Treatment
NCT04604951,"Neurogenic Bladder|Neurogenic Bowel|Sexual Dysfunction, Physiological|Spinal Cord Injuries|Spinal Cord Stimulation",Device,Transcutaneous Spinal Cord Stimulation
NCT04606251,Alzheimer Disease,Other,Exercise
NCT04623060,Stroke,Other,Combination of Low-volume interval treadmill training and Resistance Training
NCT04625504,"Chronic Pain|Pain Syndrome|Pain, Chronic|Pain, Intractable|Pain, Neuropathic",Behavioral,Mindfulness Based Intervention
NCT04632225,Amyotrophic Lateral Sclerosis,Other,Placebo
NCT04634383,"Blindness,Acquired|Ocular Injury|Optic Nerve Diseases|Photoreceptor Degeneration",Device,WFMA - wireless floating microelectrode array
NCT04636996,Artificial Intelligence|Coronary Heart Disease|Sleep Apnea,Other,artificial intelligence assisted follow-up
NCT04650295,Ascites|Cirrhosis|Muscle Cramp,Other,Household Remedy|Tap water
NCT04652921,Sarcopenia,Other,Inulin
NCT04655079,Motor and Cognitive Symptoms|Progressive Supranuclear Palsy,Device,Anodal transcranial direct current stimulation (a-tDCS)|Sham Condition
NCT04658394,Cognitive Decline|Cognitive Dysfunction|Cognitive Impairment|Dementia|Neurocognitive Disorders,Other,Reminiscence therapy
NCT04675398,Parkinson Disease,Device,Summit RC+S
NCT04681586,Fatigue|Multiple Sclerosis,Device,bright light therapy|dim red light
NCT04694833,Cognitive Impairment|Healthy Subjects|Hemiparesis|Stroke,Behavioral,Motor and cognitive virtual reality-based assessments|Motor and cognitive virtual reality-based serious games
NCT04699734,Neuropathic Pain|Neuropathy;Peripheral|Painful Diabetic Neuropathy,Diagnostic Test,NaCl 9mg/ml|Xylocaine 1%
NCT04715685,"Chronic Migraine|Headache|Headache Disorders|Headache, Migraine|Migraine|Migraine Disorders|Migraine With Aura|Migraine Without Aura",Behavioral,"20 minute session|40 minute session|home practice e-health|home practice handout|phone call"
NCT04728295,Parkinson Disease,Device,Exablate 4000
NCT04750668,Sensory Integration Dysfunction|Stroke,Other,Multisensory Balance Training
NCT04755101,"Syncope|Syncope, Neurogenic",Procedure,"EPS, electro-anatomical mapping, ARGP ablation, and pharmacological evaluation.|EPS, electro-anatomical mapping, and pharmacological evaluation."
NCT04789616,Stroke,Behavioral|Device|Other,Activity Sensor|Exercise Program|Motor Learning|Placebo
NCT04789746,Arthrogryposis|Cerebral Palsy|Gross Motor Development Delay|Motor Skills Disorders|Myelomeningocele,Behavioral,adapted Chicago Run running program
NCT04796766,Migraine,Diagnostic Test,High frequency stimulation (HFS)|Low-frequency sinusoidal transcutaneous stimulation (sLFS)
NCT04804293,Carpal Tunnel Syndrome,Device,FDA approved ultrasound system with shear wave elastography capability
NCT04807491,Bell Palsy,Other,Kabat Technique's|Neuromuscular Re-Education
