ICD Node URI,ICD Parent URI,Mesh ID,MeSH Tree Number,ICD Title,MeSH Common name,MeSH Disease Class,ICD Disease Class,MeSH Synonyms
http://id.who.int/icd/entity/755995768,http://id.who.int/icd/entity/334083632,,,Hyperekplexia due to certain specified neuropsychiatric disorder,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1011947109,http://id.who.int/icd/entity/384289569,,,"Other movement disorders, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1966778637,http://id.who.int/icd/entity/1011947109,,,Familial congenital mirror movements,,,Diseases of the nervous system,
http://id.who.int/icd/entity/431694225,http://id.who.int/icd/entity/1011947109,,,Primary progressive freezing gait,,,Diseases of the nervous system,
http://id.who.int/icd/entity/289119932,http://id.who.int/icd/entity/1011947109,,,Ramsay Hunt cerebellar syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/773801248,http://id.who.int/icd/entity/1011947109,,,Parkinsonism with dementia of Guadeloupe,,,Diseases of the nervous system,
http://id.who.int/icd/entity/211461908,http://id.who.int/icd/entity/498240876,,,Parkinsonism Hyperpyrexia Syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/517129216,http://id.who.int/icd/entity/1011947109,,,Painful or painless legs and moving toes or fingers,,,Diseases of the nervous system,
http://id.who.int/icd/entity/669973237,http://id.who.int/icd/entity/1011947109,,,Jumpy stump syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/64352031,http://id.who.int/icd/entity/353312397,,,Clonic hemifacial spasm,,,Diseases of the nervous system,
http://id.who.int/icd/entity/693937860,http://id.who.int/icd/entity/1011947109,,,Neuronal intranuclear inclusion disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/376261011,http://id.who.int/icd/entity/1011947109,,,Treatment-induced movement disorder,,,Diseases of the nervous system,
http://id.who.int/icd/entity/46003819,http://id.who.int/icd/entity/1011947109,,,Vascular chorea,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1905355308,http://id.who.int/icd/entity/384289569,,,Psychogenic movement disorders,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1719545571,http://id.who.int/icd/entity/1296093776,,,Disorders with neurocognitive impairment as a major feature,,,Diseases of the nervous system,
http://id.who.int/icd/entity/171377735,http://id.who.int/icd/entity/1611724421,,,Alzheimer disease without dementia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1560011865,http://id.who.int/icd/entity/1611724421,,,Advanced Alzheimer disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1345814274,http://id.who.int/icd/entity/1719545571,,,Progressive focal atrophies,,,Diseases of the nervous system,
http://id.who.int/icd/entity/377572273,http://id.who.int/icd/entity/1345814274,,,Posterior cortical atrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1418389822,http://id.who.int/icd/entity/377572273,,,Primary progressive apraxia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/629275507,http://id.who.int/icd/entity/377572273,,,Primary progressive visual-spatial impairment,,,Diseases of the nervous system,
http://id.who.int/icd/entity/724748131,http://id.who.int/icd/entity/1296093776,,,Multiple sclerosis or other white matter disorders,,,Diseases of the nervous system,
http://id.who.int/icd/entity/799053936,http://id.who.int/icd/entity/1298865187,,,Relapsing-remitting multiple sclerosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1020720762,http://id.who.int/icd/entity/1298865187,,,Primary progressive multiple sclerosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1045965709,http://id.who.int/icd/entity/1298865187,,,Secondary progressive multiple sclerosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1749178244,http://id.who.int/icd/entity/1298865187,,,Certain specified rare variants of multiple sclerosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/847843300,http://id.who.int/icd/entity/1749178244,,,"Multiple sclerosis, Marburg variant",,,Diseases of the nervous system,
http://id.who.int/icd/entity/816172167,http://id.who.int/icd/entity/1749178244,,,Myelinoclastic diffuse sclerosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1387119224,http://id.who.int/icd/entity/1749178244,,,Concentric sclerosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/568060293,http://id.who.int/icd/entity/1298865187,,,Retrobulbar neuritis in multiple sclerosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1690813510,http://id.who.int/icd/entity/724748131,,,Isolated demyelinating syndromes of the central nervous system,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1328350091,http://id.who.int/icd/entity/1690813510,,,Transverse myelitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1141415034,http://id.who.int/icd/entity/1328350091,,,Acute transverse myelitis in demyelinating disease of the central nervous system,,,Diseases of the nervous system,
http://id.who.int/icd/entity/650381497,http://id.who.int/icd/entity/1328350091,,,Partial transverse myelitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1814503313,http://id.who.int/icd/entity/1328350091,,,Complete transverse myelitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/183617595,http://id.who.int/icd/entity/1328350091,,,"Transverse myelitis, aquaporin-4 antibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/530422510,http://id.who.int/icd/entity/1690813510,,,Clinically isolated syndrome of the brainstem or cerebellum,,,Diseases of the nervous system,
http://id.who.int/icd/entity/639348597,http://id.who.int/icd/entity/1690813510,,,"Clinically isolated syndromes, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/191455598,http://id.who.int/icd/entity/1690813510,,,Idiopathic inflammatory optic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/754770308,http://id.who.int/icd/entity/191455598,,,Anterior optic neuritis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1236741138,http://id.who.int/icd/entity/191455598,,,Posterior optic neuritis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1467834168,http://id.who.int/icd/entity/1690813510,,,Myelin oligodendrocyte glycoprotein antibody associated spectrum disorders,,,Diseases of the nervous system,
http://id.who.int/icd/entity/605048789,http://id.who.int/icd/entity/1467834168,,,Neuromyelitis optica myelin oligodendrocyte glycoprotein antibody-positive,,,Diseases of the nervous system,
http://id.who.int/icd/entity/589500788,http://id.who.int/icd/entity/210935787,,,Secondary inflammatory optic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/27312913,http://id.who.int/icd/entity/589500788,,,Postvaccination optic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/909369967,http://id.who.int/icd/entity/210935787,,,Autoimmune optic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/764153599,http://id.who.int/icd/entity/909369967,,,Paraneoplastic optic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/307356558,http://id.who.int/icd/entity/909369967,,,Autoimmune related retinopathy or optic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/122569510,http://id.who.int/icd/entity/210935787,,,Optic neuritis in other primary demyelinating diseases,,,Diseases of the nervous system,
http://id.who.int/icd/entity/73324466,http://id.who.int/icd/entity/744293382,,,Neuromyelitis optica aquaporin-4 antibody positive,,,Diseases of the nervous system,
http://id.who.int/icd/entity/869136080,http://id.who.int/icd/entity/744293382,,,Neuromyelitis optica aquaporin-4 antibody negative,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1921504316,http://id.who.int/icd/entity/744293382,,,Single transverse myelitis aquaporin-4 antibody positive,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1829846416,http://id.who.int/icd/entity/744293382,,,Recurrent transverse myelitis aquaporin-4 antibody positive,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1119109040,http://id.who.int/icd/entity/744293382,,,Single optic neuritis aquaporin-4 antibody positive,,,Diseases of the nervous system,
http://id.who.int/icd/entity/678566494,http://id.who.int/icd/entity/744293382,,,Recurrent optic neuritis aquaporin-4 antibody positive,,,Diseases of the nervous system,
http://id.who.int/icd/entity/63567539,http://id.who.int/icd/entity/210935787,,,Retrobulbar neuritis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/466302765,http://id.who.int/icd/entity/63567539,,,Secondary retrobulbar neuritis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1796937281,http://id.who.int/icd/entity/466302765,,,Retrobulbar neuritis in meningococcal infection,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1732467978,http://id.who.int/icd/entity/466302765,,,Late syphilitic retrobulbar neuritis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1390433308,http://id.who.int/icd/entity/724748131,,,Acute disseminated encephalomyelitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1226230164,http://id.who.int/icd/entity/1390433308,,,Acute haemorrhagic leukoencephalitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/680294872,http://id.who.int/icd/entity/1390433308,,,Postinfectious encephalomyelitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1229845027,http://id.who.int/icd/entity/1390433308,,,Post vaccinal encephalomyelitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/17566186,http://id.who.int/icd/entity/1390433308,,,Acute disseminated encephalitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/468040251,http://id.who.int/icd/entity/724748131,,,Leukodystrophies,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1101042369,http://id.who.int/icd/entity/1313582105,,,Pelizaeus-Merzbacher-like disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1837915951,http://id.who.int/icd/entity/1101042369,,,Pelizaeus-Merzbacher-like due to AIMP1 mutation,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1983099839,http://id.who.int/icd/entity/1101042369,,,Pelizaeus-Merzbacher-like due to GJC2 mutation,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1602587432,http://id.who.int/icd/entity/1101042369,,,Pelizaeus-Merzbacher-like due to HSPD1 mutation,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1381085790,http://id.who.int/icd/entity/1101042369,,,Pelizaeus-Merzbacher-like due to SLC16A2 mutation,,,Diseases of the nervous system,
http://id.who.int/icd/entity/153698192,http://id.who.int/icd/entity/1313582105,,,Pelizaeus-Merzbacher disease late onset form,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1118374715,http://id.who.int/icd/entity/1313582105,,,"Pelizaeus-Merzbacher disease, connatal form",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1613420896,http://id.who.int/icd/entity/1313582105,,,"Pelizaeus-Merzbacher disease, classic form",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1471805474,http://id.who.int/icd/entity/1313582105,,,"Pelizaeus-Merzbacher disease, transitional form",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1751389523,http://id.who.int/icd/entity/1313582105,,,Pelizaeus-Merzbacher disease in female carriers,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1663254692,http://id.who.int/icd/entity/1313582105,,,Null syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/704130,http://id.who.int/icd/entity/1085655586,,,Adult-onset autosomal dominant leukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/478178009,http://id.who.int/icd/entity/1085655586,,,Neonatal adrenoleukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/485676510,http://id.who.int/icd/entity/1085655586,,,X-linked adrenoleukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1105019687,http://id.who.int/icd/entity/485676510,,,X-linked cerebral adrenoleukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1214673956,http://id.who.int/icd/entity/485676510,,,Adrenomyeloneuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1074952784,http://id.who.int/icd/entity/2023359698,,,Alexander disease infantile form,,,Diseases of the nervous system,
http://id.who.int/icd/entity/646725040,http://id.who.int/icd/entity/2023359698,,,Alexander disease juvenile form,,,Diseases of the nervous system,
http://id.who.int/icd/entity/138772190,http://id.who.int/icd/entity/2023359698,,,Alexander’s disease adult form,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1407140179,http://id.who.int/icd/entity/468040251,,,Certain specified leukodystrophies,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1574637700,http://id.who.int/icd/entity/1407140179,,,CACH syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2136523495,http://id.who.int/icd/entity/1574637700,,,Congenital or early infantile CACH syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1221321625,http://id.who.int/icd/entity/2136523495,,,Cree leukoencephalopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1400114953,http://id.who.int/icd/entity/1574637700,,,Juvenile or adult CACH syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1823072890,http://id.who.int/icd/entity/1400114953,,,Ovarioleukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1635638032,http://id.who.int/icd/entity/1574637700,,,Late infantile CACH syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/840878762,http://id.who.int/icd/entity/1407140179,,,Rare leukodystrophies,,,Diseases of the nervous system,
http://id.who.int/icd/entity/267638596,http://id.who.int/icd/entity/840878762,,,Hypomyelination with atrophy of basal ganglia or cerebellum,,,Diseases of the nervous system,
http://id.who.int/icd/entity/138159250,http://id.who.int/icd/entity/840878762,,,Leukoencephalopathy with bilateral anterior temporal lobe cysts,,,Diseases of the nervous system,
http://id.who.int/icd/entity/945878586,http://id.who.int/icd/entity/840878762,,,Megaloencephalic leukoencephalopathy with subcortical cysts,,,Diseases of the nervous system,
http://id.who.int/icd/entity/295989674,http://id.who.int/icd/entity/840878762,,,Polycystic lipomembranous osteodysplasia - sclerosing leukoencephalopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/340540374,http://id.who.int/icd/entity/840878762,,,Progressive cavitating leukoencephalopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1369140256,http://id.who.int/icd/entity/840878762,,,"Waardenburg-Shah syndrome, neurologic variant",,,Diseases of the nervous system,
http://id.who.int/icd/entity/745921582,http://id.who.int/icd/entity/1055252392,,,Infantile Refsum disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/444122923,http://id.who.int/icd/entity/1407140179,,,Phenylketonuria,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2084504393,http://id.who.int/icd/entity/444122923,,,Classical phenylketonuria,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2000382057,http://id.who.int/icd/entity/2084504393,,,"Classical phenylketonuria, phenylalanine hydroxylase partial deficiency",,,Diseases of the nervous system,
http://id.who.int/icd/entity/2053644170,http://id.who.int/icd/entity/2084504393,,,"Classical phenylketonuria, phenylalanine hydroxylase total deficiency",,,Diseases of the nervous system,
http://id.who.int/icd/entity/2132400826,http://id.who.int/icd/entity/444122923,,,Nonclassical phenylketonuria,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1941919313,http://id.who.int/icd/entity/444122923,,,Mild hyperphenylalaninaemia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/144125175,http://id.who.int/icd/entity/444122923,,,"Phenylketonuria, BH4 deficiency",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1909085274,http://id.who.int/icd/entity/444122923,,,BH4-responsive phenylketonuria,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1509230254,http://id.who.int/icd/entity/444122923,,,Embryofetopathy due to maternal phenylketonuria,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1556875179,http://id.who.int/icd/entity/1407140179,,,Cerebrotendinous xanthomatosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1018428959,http://id.who.int/icd/entity/1407140179,,,Leber hereditary optic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1075890287,http://id.who.int/icd/entity/1018428959,,,Leber 'plus' disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1081165012,http://id.who.int/icd/entity/1407140179,,,Cystic leukoencephalopathy without megalencephaly,,,Diseases of the nervous system,
http://id.who.int/icd/entity/182529822,http://id.who.int/icd/entity/1923566939,,,Gaucher disease type 1,,,Diseases of the nervous system,
http://id.who.int/icd/entity/113306978,http://id.who.int/icd/entity/1923566939,,,Gaucher disease type 2,,,Diseases of the nervous system,
http://id.who.int/icd/entity/312650726,http://id.who.int/icd/entity/1923566939,,,Gaucher disease type 3,,,Diseases of the nervous system,
http://id.who.int/icd/entity/511928730,http://id.who.int/icd/entity/1923566939,,,Gaucher disease - ophthalmoplegia - cardiovascular calcification,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1292099818,http://id.who.int/icd/entity/1923566939,,,Perinatal-lethal Gaucher disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1092756118,http://id.who.int/icd/entity/1923566939,,,Atypical Gaucher disease due to saposin C deficiency,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1221134908,http://id.who.int/icd/entity/1923566939,,,Gaucher’s splenomegaly,,,Diseases of the nervous system,
http://id.who.int/icd/entity/398872780,http://id.who.int/icd/entity/1407140179,,,Niemann-Pick disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/530611243,http://id.who.int/icd/entity/398872780,,,Niemann-Pick disease type A,,,Diseases of the nervous system,
http://id.who.int/icd/entity/327269975,http://id.who.int/icd/entity/398872780,,,Niemann-Pick disease type B,,,Diseases of the nervous system,
http://id.who.int/icd/entity/812702125,http://id.who.int/icd/entity/398872780,,,Niemann-Pick disease type C,,,Diseases of the nervous system,
http://id.who.int/icd/entity/791115227,http://id.who.int/icd/entity/812702125,,,"Niemann-Pick disease type C, severe perinatal",,,Diseases of the nervous system,
http://id.who.int/icd/entity/587642791,http://id.who.int/icd/entity/812702125,,,"Niemann-Pick disease type C, severe early infantile neurologic onset",,,Diseases of the nervous system,
http://id.who.int/icd/entity/2075382821,http://id.who.int/icd/entity/812702125,,,"Niemann-Pick disease type C, late infantile neurologic onset",,,Diseases of the nervous system,
http://id.who.int/icd/entity/2006062681,http://id.who.int/icd/entity/812702125,,,"Niemann-Pick disease type C, juvenile neurologic onset",,,Diseases of the nervous system,
http://id.who.int/icd/entity/77127214,http://id.who.int/icd/entity/812702125,,,"Niemann-Pick disease type C, adult neurologic onset",,,Diseases of the nervous system,
http://id.who.int/icd/entity/252686670,http://id.who.int/icd/entity/215008783,,,B variant of hexosaminidase A deficiency,,,Diseases of the nervous system,
http://id.who.int/icd/entity/519504561,http://id.who.int/icd/entity/252686670,,,"B variant of hexosaminidase A deficiency, infantile form",,,Diseases of the nervous system,
http://id.who.int/icd/entity/390870454,http://id.who.int/icd/entity/252686670,,,"B variant of hexosaminidase A deficiency, juvenile form",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1248043855,http://id.who.int/icd/entity/252686670,,,"B variant of hexosaminidase A deficiency, adult form",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1223524026,http://id.who.int/icd/entity/215008783,,,B1 variant of hexosaminidase A deficiency,,,Diseases of the nervous system,
http://id.who.int/icd/entity/649693659,http://id.who.int/icd/entity/215008783,,,Hexosaminidase activator deficiency,,,Diseases of the nervous system,
http://id.who.int/icd/entity/451093599,http://id.who.int/icd/entity/1407140179,,,RAVINE syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/346802172,http://id.who.int/icd/entity/1407140179,,,Hypomyelination - hypogonadotropic hypogonadism - hypodontia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1440334374,http://id.who.int/icd/entity/1407140179,,,Oculo-dento-digital dysplasia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2040572438,http://id.who.int/icd/entity/1407140179,,,Adult-onset leukodystrophy with axonal spheroids,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1901486941,http://id.who.int/icd/entity/468040251,,,Leukoencephalopathy with brainstem - spinal cord involvement - lactate elevation,,,Diseases of the nervous system,
http://id.who.int/icd/entity/796317173,http://id.who.int/icd/entity/468040251,,,Krabbe disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/999546344,http://id.who.int/icd/entity/796317173,,,Infantile Krabbe disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/711683611,http://id.who.int/icd/entity/796317173,,,Late-infantile or juvenile Krabbe disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/699668826,http://id.who.int/icd/entity/796317173,,,Adult Krabbe disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/172326564,http://id.who.int/icd/entity/468040251,,,Metachromatic leukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/465423711,http://id.who.int/icd/entity/172326564,,,Arylsulfatase A deficiency,,,Diseases of the nervous system,
http://id.who.int/icd/entity/422777002,http://id.who.int/icd/entity/465423711,,,Late infantile metachromatic leukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1142720083,http://id.who.int/icd/entity/465423711,,,Juvenile metachromatic leukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1302835544,http://id.who.int/icd/entity/465423711,,,Adult metachromatic leukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1051556131,http://id.who.int/icd/entity/172326564,,,Metachromatic leukodystrophy due to sphingolipid activator protein I deficiency,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2019381698,http://id.who.int/icd/entity/468040251,,,Cerebral leukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1151136209,http://id.who.int/icd/entity/468040251,,,4H leukodystrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1552777544,http://id.who.int/icd/entity/724748131,,,Certain specified demyelinating diseases of central nervous system,,,Diseases of the nervous system,
http://id.who.int/icd/entity/113448281,http://id.who.int/icd/entity/1552777544,,,Marburg acute multiple sclerosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1441661203,http://id.who.int/icd/entity/1552777544,,,Central demyelination of corpus callosum,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1694687314,http://id.who.int/icd/entity/1441661203,,,Marchiafava-Bignami syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1494277413,http://id.who.int/icd/entity/724748131,,,Secondary white matter disorders,,,Diseases of the nervous system,
http://id.who.int/icd/entity/565740065,http://id.who.int/icd/entity/1494277413,,,White matter disorders due to infections,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1043229589,http://id.who.int/icd/entity/565740065,,,Human T-cell lymphotropic virus-associated myelopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1317693892,http://id.who.int/icd/entity/1043229589,,,Myelitis due to Human T-lymphotropic virus type 1,,,Diseases of the nervous system,
http://id.who.int/icd/entity/236814367,http://id.who.int/icd/entity/565740065,,,Vacuolar myelopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/935491102,http://id.who.int/icd/entity/236814367,,,HIV or AIDS vacuolar myelopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/247083119,http://id.who.int/icd/entity/565740065,,,Central nervous system demyelination due to Lyme borreliosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1911167360,http://id.who.int/icd/entity/565740065,,,Central nervous system demyelination due to Whipple’s disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1968672576,http://id.who.int/icd/entity/565740065,,,Certain specified infectious myelopathies,,,Diseases of the nervous system,
http://id.who.int/icd/entity/902939755,http://id.who.int/icd/entity/565740065,,,Progressive multifocal leukoencephalopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/607889687,http://id.who.int/icd/entity/1494277413,,,White matter disorders due to toxicity,,,Diseases of the nervous system,
http://id.who.int/icd/entity/806284927,http://id.who.int/icd/entity/607889687,,,White matter disorder due to hexachlorophene toxicity,,,Diseases of the nervous system,
http://id.who.int/icd/entity/31438395,http://id.who.int/icd/entity/607889687,,,White matter disorder due to trimethyltin toxicity,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1529465062,http://id.who.int/icd/entity/607889687,,,White matter disorder due to carbon monoxide toxicity,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1310442704,http://id.who.int/icd/entity/607889687,,,White matter disorder due to heroin vapour toxicity,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1905371082,http://id.who.int/icd/entity/607889687,,,White matter disorder due to nitrous oxide toxicity,,,Diseases of the nervous system,
http://id.who.int/icd/entity/688537570,http://id.who.int/icd/entity/607889687,,,Myelopathy due to radiation injury,,,Diseases of the nervous system,
http://id.who.int/icd/entity/618530456,http://id.who.int/icd/entity/688537570,,,Myelopathy due to delayed radiation,,,Diseases of the nervous system,
http://id.who.int/icd/entity/453241829,http://id.who.int/icd/entity/688537570,,,Myelopathy due to early radiation,,,Diseases of the nervous system,
http://id.who.int/icd/entity/988300061,http://id.who.int/icd/entity/1494277413,,,White matter disorders due to vascular abnormality or ischemia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1593319304,http://id.who.int/icd/entity/988300061,,,White matter disorder due to CADASIL,,,Diseases of the nervous system,
http://id.who.int/icd/entity/937824238,http://id.who.int/icd/entity/988300061,,,Subacute necrotising myelitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1634892946,http://id.who.int/icd/entity/988300061,,,White matter disorder due to central nervous system vasculopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/100409255,http://id.who.int/icd/entity/988300061,,,Progressive subcortical ischemic demyelination,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1641401568,http://id.who.int/icd/entity/988300061,,,Certain specified syndrome of delayed hypoxic cerebral demyelination,,,Diseases of the nervous system,
http://id.who.int/icd/entity/509209399,http://id.who.int/icd/entity/1494277413,,,White matter disorders due to nutritional deficiency,,,Diseases of the nervous system,
http://id.who.int/icd/entity/785232077,http://id.who.int/icd/entity/509209399,,,White matter disorder due to vitamin B12 deficiency,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1702424166,http://id.who.int/icd/entity/509209399,,,White matter disorder due to copper deficiency,,,Diseases of the nervous system,
http://id.who.int/icd/entity/558060012,http://id.who.int/icd/entity/509209399,,,Central pontine myelinolysis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1271534526,http://id.who.int/icd/entity/558060012,,,Pontine central pontine myelinolysis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1368206692,http://id.who.int/icd/entity/558060012,,,Extrapontine central pontine myelinolysis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1779279118,http://id.who.int/icd/entity/1494277413,,,White matter disorders due to certain specified systemic disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/635475211,http://id.who.int/icd/entity/1779279118,,,Demyelination due to sarcoidosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/559743797,http://id.who.int/icd/entity/1779279118,,,Demyelination due to systemic lupus erythematosus,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1347817850,http://id.who.int/icd/entity/1779279118,,,Demyelination due to Sjögren disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1710646654,http://id.who.int/icd/entity/1779279118,,,Demyelination due to Behcet disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1855549920,http://id.who.int/icd/entity/1779279118,,,Demyelination due to antiphospholipid syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2062450262,http://id.who.int/icd/entity/1779279118,,,Demyelination due to primary central nervous system lymphoma,,,Diseases of the nervous system,
http://id.who.int/icd/entity/889409107,http://id.who.int/icd/entity/1779279118,,,Demyelination due to systemic vasculitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1525871868,http://id.who.int/icd/entity/1779279118,,,Demyelination due to mitochondrial disease,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1397288146,http://id.who.int/icd/entity/1296093776,,,Epilepsy or seizures,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2073711696,http://id.who.int/icd/entity/1397288146,,,Epilepsy due to structural or metabolic conditions or diseases,,,Diseases of the nervous system,
