Mesh ID,Common name,Synonyms,Tree Number,Disease Class
D005879,Tourette Syndrome,"Chronic Motor and Vocal Tic Disorder| Tourettes Disease| Gilles De La Tourette's Syndrome| Syndrome, Tourette| Gilles de la Tourette Syndrome| Gilles de la Tourette's Disease| Tourette Disease| Combined Vocal and Multiple Motor Tic Disorder| Tourette Syndrome| Multiple Motor and Vocal Tic Disorder, Combined| Tourettes Disorder| Tic Disorder, Combined Vocal and Multiple Motor| Tourette's Syndrome| Gilles de la Tourette Disorder| Tourettes Syndrome| Combined Multiple Motor and Vocal Tic Disorder| Tourette Disorder| Tourette's Disorder| Tourette's Disease",C10.228.662.825.800| C10.228.140.079.898| C10.574.500.850,Central Nervous System Diseases
D006009,Glycogen Storage Disease Type II,"Glycogen Storage Disease Type 2| Deficiencies, Acid Alpha-Glucosidase| Generalized Glycogenosis| GAA Deficiencies| Glycogenosis Type II| Alpha-Glucosidase Deficiency| Acid Alpha-Glucosidase Deficiency| Acid Alpha-Glucosidase Deficiencies| Deficiency Disease, Lysosomal alpha-1,4-Glucosidase| Alpha-Glucosidase Deficiencies| Deficiency of Alpha Glucosidase| Glycogen Storage Disease Type II| Pompes Disease| Glycogen Storage Disease II| Deficiencies, GAA| Glycogenosis, Generalized| Lysosomal alpha-1,4-Glucosidase Deficiency Disease| Alpha-Glucosidase Deficiency, Acid| Acid Alpha Glucosidase Deficiency| Pompe Disease| GSD2| Generalized Glycogenoses| Disease, Pompe| Type II, Glycogenosis| Acid Maltase Deficiency Disease| GAA Deficiency| GSD II| Type IIs, Glycogenosis| Lysosomal alpha 1,4 Glucosidase Deficiency Disease| Glycogenoses, Generalized| Glycogenosis 2| Deficiency Disease, Acid Maltase| Deficiency of Alpha-Glucosidase| GSD2s| Alpha-Glucosidase Deficiencies, Acid| Deficiency, Acid Alpha-Glucosidase| Deficiency, GAA| Pompe's Disease| Disease, Pompe's",C10.228.140.163.100.435.340,Central Nervous System Diseases
D006014,Glycogen Storage Disease Type VII,"Muscle Phosphofructokinase Deficiency| Glycogen Storage Disease Type VII| Deficiencies, Pfkm| Glycogen Storage Disease VII| Pfkm Deficiencies| Deficiency, Pfkm| Tarui's Disease| Disease, Tarui| Phosphofructokinase Deficiency, Muscle| Phosphofructokinase Deficiencies, Muscle| Glycogenosis 7| Taruis Disease| Disease, Tarui's| Pfkm Deficiency| Tarui Disease| GSD VII| Muscle Phosphofructokinase Deficiencies| Deficiency, Muscle Phosphofructokinase| Deficiencies, Muscle Phosphofructokinase",C10.668.491.175.500.112,Neuromuscular Diseases
D006211,Pantothenate Kinase-Associated Neurodegeneration,"Dystrophy, Juvenile-Onset Neuroaxonal| Neuroaxonal Dystrophy, Juvenile-Onset| Dystrophies, Juvenile-Onset Neuroaxonal| Juvenile-Onset Neuroaxonal Dystrophies| Pigmentary Pallidal Atrophy| Hallervorden-Spatz Disease| Pigmentary Pallidal Degeneration| Neurodegeneration, Pantothenate Kinase-Associated| Degeneration, Pigmentary Pallidal| PKAN Neuroaxonal Dystrophy, Juvenile Onset| Neuroaxonal Dystrophies, Juvenile-Onset| Hallervorden Spatz Syndrome| Juvenile-Onset Neuroaxonal Dystrophy| Neurodegeneration With Brain Iron Accumulation 1| Hallervorden-Spatz Syndrome| Pantothenate Kinase-Associated Neurodegeneration| Neurodegeneration with Brain Iron Accumulation Type 1| Hallervorden Spatz Disease| Pallidal Atrophy, Pigmentary| Pantothenate Kinase Associated Neurodegeneration| Neuroaxonal Dystrophy, Juvenile Onset| PKAN Neuroaxonal Dystrophy, Juvenile-Onset",C10.228.662.575| C10.574.500.700| C10.228.140.744.320| C10.228.140.079.800,Central Nervous System Diseases
D006212,Hallucinations,Hallucination| Hallucinations,C10.597.606.762.300,Neurologic Manifestations
D006250,Hartnup Disease,"Hartnup Disease| Neutral Amino Acid Transport Disorder| Transport Disorder, Neutral Amino Acids| Neutral Amino Acid Transport Defect| Transport Disorder, Neutral Amino Acid| Hartnup Disorder| Amino Acid Transport Disorder, Neutral",C10.228.140.163.100.355,Central Nervous System Diseases
D006259,Craniocerebral Trauma,"Craniocerebral Injuries| Injuries, Craniocerebral| Trauma, Craniocerebral| Head Trauma| Traumas, Head| Injury, Head| Head Injury| Head Traumas| Trauma, Head| Craniocerebral Trauma| Head Injuries| Traumas, Craniocerebral| Craniocerebral Injury| Injury, Craniocerebral| Craniocerebral Traumas| Injuries, Head",C10.900.300,"Trauma, Nervous System"
D006311,Hearing Disorders,Hearing Disorder| Hearing Disorders,C10.597.751.418,Neurologic Manifestations
D006312,"Hearing Loss, Bilateral","Loss, Bilateral Hearing| Bilateral Hearing Losses| Hearing Loss, Bilateral| Bilateral Hearing Loss",C10.597.751.418.341.374,Neurologic Manifestations
D006313,"Hearing Loss, Central","Hearing Loss, Central| Central Hearing Loss",C10.597.751.418.341.887.432| C10.228.140.068.432,Neurologic Manifestations
D006314,"Hearing Loss, Conductive","Conductive Hearing Loss| Hearing Loss, Conductive",C10.597.751.418.341.562,Neurologic Manifestations
D006315,"Hearing Loss, Functional","Nonorganic Hearing Loss| Hearing Loss, Psychogenic| Hearing Loss, Functional| Hearing Loss, Nonorganic| Functional Hearing Loss| Psychogenic Hearing Loss",C10.597.751.418.341.750,Neurologic Manifestations
D006316,"Hearing Loss, High-Frequency","Hearing Loss, High-Frequency| High-Frequency Hearing Loss| Hearing Loss, High Frequency",C10.597.751.418.341.812,Neurologic Manifestations
D006317,"Hearing Loss, Noise-Induced","Hearing Loss, Noise-Induced| Hearing Loss, Noise Induced| Noise-Induced Hearing Loss",C10.597.751.418.341.887.460,Neurologic Manifestations
D006319,"Hearing Loss, Sensorineural","Neurosensory Deafness| Deafnesses, Neurosensory| Neurosensory Deafnesses| Sensorineural Hearing Loss| Deafness, Sensoryneural| Deafness Neurosensory| Deafness, Neurosensory| Hearing Loss, Sensorineural| Sensoryneural Deafnesses| Sensoryneural Deafness| Deafnesses, Sensoryneural",C10.597.751.418.341.887,Neurologic Manifestations
D006407,"Hematoma, Epidural, Cranial","Extradural Hematoma, Cranial| Hematoma, Epidural, Cranial| Extradural Hemorrhages, Cranial| Epidural Hemorrhages, Cranial| Intracranial Epidural Hematomas| Extradural Hemorrhage, Cranial| Cranial Extradural Hematomas| Hematomas, Cranial Extradural| Hematomas, Intracranial Epidural| Hemorrhage, Cranial Extradural| Epidural Hemorrhage, Cranial| Epidural Hematomas, Intracranial| Cranial Epidural Hematomas| Cranial Epidural Hemorrhages| Extradural Hematomas, Cranial| Intracranial Epidural Hematoma| Hemorrhage, Cranial Epidural| Hematoma, Intracranial Epidural| Epidural Hematoma, Cranial| Hemorrhages, Cranial Extradural| Hemorrhages, Cranial Epidural| Epidural Hematomas, Cranial| Cranial Epidural Hemorrhage| Cranial Extradural Hematoma| Cranial Epidural Hematoma| Cranial Extradural Hemorrhage| Cranial Extradural Hemorrhages| Hematoma, Cranial Epidural| Hematomas, Cranial Epidural| Hematoma, Cranial Extradural| Epidural Hematoma, Intracranial| Hematoma, Epidural, Intracranial",C10.900.300.837.300| C10.228.140.300.535.450.300,"Trauma, Nervous System"
D006408,"Hematoma, Subdural","Subdural Hematoma| Hemorrhages, Subdural| Subdural Hemorrhage| Hemorrhage, Subdural| Hematoma, Subdural| Subdural Hematomas| Hematomas, Subdural| Subdural Hemorrhages",C10.900.300.837.600| C10.228.140.300.535.450.400,"Trauma, Nervous System"
D006423,Hemianopsia,Hemianopias| Hemianopsias| Hemianopia| Hemianopsia,C10.597.751.941.512,Neurologic Manifestations
D006429,Hemiplegia,Hemiplegia| Hemiplegias,C10.597.622.295,Neurologic Manifestations
D006501,Hepatic Encephalopathy,"Portal-Systemic Encephalopathy| Portal Systemic Encephalopathy| Encephalopathy, Portal-Systemic| Hepatocerebral Encephalopathy| Encephalopathy, Portosystemic| Portosystemic Encephalopathies| Portal-Systemic Encephalopathies| Encephalopathy, Hepatocerebral| Hepatic Encephalopathies| Encephalopathies, Hepatic| Hepatic Encephalopathy| Encephalopathy, Hepatic| Encephalopathy, Portal Systemic| Portosystemic Encephalopathy| Encephalopathies, Hepatocerebral| Hepatocerebral Encephalopathies| Encephalopathies, Portosystemic| Encephalopathies, Portal-Systemic",C10.228.140.163.360,Central Nervous System Diseases
D006527,Hepatolenticular Degeneration,"Storage Disease, Copper| Pseudosclerosis| Cerebral Pseudoscleroses| Hepatocerebral Degeneration| Kinnier Wilson Disease| Wilson Disease| Kinnier-Wilson Diseases| Syndrome, Hepatolenticular Degeneration| Syndromes, Hepatolenticular Degeneration| Hepato-Neurologic Wilson Diseases| Neurohepatic Degeneration| Degenerations, Neurohepatic| Hepatolenticular Degeneration Syndromes| Hepato Neurologic Wilson Disease| Westphal Strumpell Syndrome| Cerebral Pseudosclerosis| Westphal-Strumpell Syndromes| Degeneration, Neurohepatic| Disease, Copper Storage| Neurohepatic Degenerations| Wilson Disease, Hepato-Neurologic| Hepato-Neurologic Wilson Disease| Hepatolenticular Degeneration Syndrome| Wilson's Disease| Copper Storage Diseases| Diseases, Hepato-Neurologic Wilson| Kinnier-Wilson Disease| Degeneration, Hepatolenticular| Hepatocerebral Degenerations| Pseudoscleroses, Cerebral| Hepatolenticular Degeneration| Wilson Diseases, Hepato-Neurologic| Westphal-Strumpell Syndrome| Degeneration Syndromes, Hepatolenticular| Wilsons Disease| Diseases, Kinnier-Wilson| Degeneration, Hepatocerebral| Lenticular Degeneration, Progressive| Degeneration, Progressive Lenticular| Degenerations, Hepatocerebral| Copper Storage Disease| Diseases, Copper Storage| Pseudosclerosis, Cerebral| Storage Diseases, Copper| Degeneration Syndrome, Hepatolenticular| Progressive Lenticular Degeneration",C10.228.140.079.493| C10.574.500.487| C10.228.662.400| C10.228.140.163.100.360,Central Nervous System Diseases
D006610,High Pressure Neurological Syndrome,HPNS| High Pressure Nervous Syndrome| High Pressure Neural Syndrome| High Pressure Neurological Syndrome| HPNSs,C10.228.566,Central Nervous System Diseases
D006623,von Hippel-Lindau Disease,"Angiomatoses, Familial Cerebello-Retinal| Familial Cerebelloretinal Angiomatoses| Hippel-Lindau Disease| Lindau's Diseases| Angiomatosis, Familial Cerebelloretinal| Lindaus Disease| Cerebello-Retinal Angiomatosis, Familial| Angiomatosis, Familial Cerebello-Retinal| Familial Cerebello-Retinal Angiomatosis| von Hippel Lindau Disease| VHL Syndrome| Cerebelloretinal Angiomatoses, Familial| Familial Cerebelloretinal Angiomatosis| Lindau Disease| Familial Cerebello Retinal Angiomatosis| Angiomatoses, Familial Cerebelloretinal| Familial Cerebello-Retinal Angiomatoses| Hippel Lindau Disease| Angiomatosis Retinae| Cerebelloretinal Angiomatosis, Familial| von Hippel-Lindau Syndrome| von Hippel Lindau Syndrome| von Hippel-Lindau Disease| Cerebello-Retinal Angiomatoses, Familial| Lindau's Disease| VHL Syndromes",C10.562.925,Neurocutaneous Syndromes
D006685,Hoarseness,"Hoarsenesses| Voice Hoarseness| Hoarseness of Voice| Hoarseness, Voice| Hoarseness",C10.597.975.550,Neurologic Manifestations
D006712,Homocystinuria,Homocystinuria,C10.228.140.163.100.365,Central Nervous System Diseases
D006732,Horner Syndrome,"Claude Bernard Horner Syndrome| Sympathetic Ocular Ophthalmoplegia| Syndromes, Oculosympathetic| Syndrome, Claude Bernard-Horner| Ocular Ophthalmoplegia, Sympathetic| Horners Syndrome| Sympathetic Ocular Ophthalmoplegias| Ophthalmoplegias, Sympathetic Ocular| Syndrome, Bernard| Claude Bernard-Horner Syndrome| Bernards Syndrome| Bernard Syndromes| Syndromes, Bernard| Syndrome, Oculosympathetic| Oculosympathetic Syndromes| Ocular-Ophthalmoplegia, Sympathetic| Syndrome, Horner's| Syndrome, Horner| Horner's Syndrome| Sympathetic Ocular-Ophthalmoplegias| Ocular-Ophthalmoplegias, Sympathetic| Ocular Ophthalmoplegias, Sympathetic| Bernard's Syndrome| Sympathetic Ocular-Ophthalmoplegia| Bernard Syndrome| Horner Syndrome| Oculosympathetic Syndrome| Syndrome, Bernard's| Ophthalmoplegia, Sympathetic Ocular",C10.597.690.362.500| C10.177.350,Neurologic Manifestations
D006816,Huntington Disease,"Progressive Chorea, Hereditary, Chronic (Huntington)| Huntington Chorea| Chorea, Huntington| Huntington's Disease| Chorea, Chronic Progressive Hereditary (Huntington)| Progressive Chorea, Chronic Hereditary (Huntington)| Huntington Disease| Huntington Chronic Progressive Hereditary Chorea| Huntington's Chorea| Chronic Progressive Hereditary Chorea (Huntington)| Chorea, Huntington's",C10.574.500.497| C10.228.662.262.249.750| C10.228.140.380.278| C10.228.140.079.545,Neurodegenerative Diseases
D006832,Hydranencephaly,"Hydranencephaly| Absence of Cerebral Hemispheres, Congenital| Hydranencephalies| Congenital Absence of Cerebral Hemispheres| Cerebral Hemispheres, Absence, Congenital",C10.500.450,Nervous System Malformations
D006849,Hydrocephalus,Hydrocephaly| Hydrocephalus,C10.228.140.602,Central Nervous System Diseases
D006930,Hyperalgesia,"Hyperalgesias| Sensations, Hyperalgesic| Hyperalgesia| Hyperalgesic Sensation| Sensation, Hyperalgesic| Hyperalgia| Hyperalgesic Sensations",C10.597.751.791.400,Neurologic Manifestations
D006941,Hyperesthesia,"Oxyesthesias| Sensation, Hyperesthetic| Hyperesthesia| Hyperesthetic Sensations| Sensations, Hyperesthetic| Hyperesthetic Sensation| Oxyesthesia| Hyperesthesias",C10.597.751.791.450,Neurologic Manifestations
D006948,Hyperkinesis,"Motor Hyperactivity| Hyperkinetic Movement| Hyperkinetic Movements| Movement, Hyperkinetic| Movements, Hyperkinetic| Hyperactivity, Motor| Hyperkinesis| Hyperkinesia",C10.597.350.350,Neurologic Manifestations
D006964,Hyperpituitarism,Hyperpituitarism,C10.228.140.617.738.250,Central Nervous System Diseases
D006966,Hyperprolactinemia,"Prolactin Hypersecretion Syndrome| Prolactin Secretion, Inappropriate| Hypersecretion Syndrome, Prolactin| Prolactin, Inappropriate Secretion| Secretion Prolactin, Inappropriate| Hyperprolactinaemia| Secretion, Inappropriate Prolactin| Inappropriate Prolactin Secretion Syndrome| Inappropriate Prolactin Secretion| Hyperprolactinemias| Hyperprolactinemia| Inappropriate Secretion Prolactin| Syndrome, Prolactin Hypersecretion",C10.228.140.617.738.250.450,Central Nervous System Diseases
D006970,Disorders of Excessive Somnolence,"Excessive Somnolence Disorder| Hypersomnolence Disorders| DOESs (Disorders of Excessive Somnolence)| DOES (Disorders of Excessive Somnolence)| Hypersomnolence Disorder| Disorders of Excessive Somnolence| Somnolence Disorder, Excessive| Excessive Somnolence Disorders",C10.886.425.800.200,Sleep Wake Disorders
D006987,Hypesthesia,"Tactile Hypesthesias| Hypoesthesias| Hypesthesias, Tactile| Impaired Sensation| Sensation, Impaired| Sensations, Impaired| Reduced Sensations| Tactile Hypesthesia| Impaired Sensations| Sensation, Reduced| Reduced Sensation| Numbness| Hypoesthesia| Hypesthesia, Tactile| Hypesthesia| Sensations, Reduced| Hypesthesias",C10.597.751.791.500,Neurologic Manifestations
D007018,Hypopituitarism,"Pituitary Insufficiency| Anterior Pituitary Hyposecretion Syndrome| Hyposecretion Syndrome, Anterior Pituitary| Insufficiency, Pituitary| Adenohypophyseal Hyposecretion| Hypopituitarism| Hyposecretion, Adenohypophyseal",C10.228.140.617.738.300,Central Nervous System Diseases
D007024,"Hypotension, Orthostatic","Hypotension, Postural| Hypotension, Orthostatic| Orthostatic Hypotension| Postural Hypotension",C10.177.575.600.450,Autonomic Nervous System Diseases
D007027,Hypothalamic Diseases,"Hypothalamic Disease| Hypothalamic Diseases| Diseases, Hypothalamic| Disease, Hypothalamic",C10.228.140.617,Central Nervous System Diseases
D007029,Hypothalamic Neoplasms,"Neoplasm, Hypothalamic| Tumors, Hypothalamic| Hypothalamic Neoplasm| Hypothalamus Tumor| Hypothalamus Neoplasms| Hypothalamus Neoplasm| Tumors, Hypothalamus| Hypothalamic Tumors| Hypothalamic Neoplasms| Tumor, Hypothalamus| Tumor, Hypothalamic| Hypothalamic Tumor| Neoplasms, Hypothalamic| Hypothalamus Tumors| Neoplasms, Hypothalamus| Neoplasm, Hypothalamus",C10.228.140.617.477| C10.228.140.211.885.500| C10.551.240.250.700.500,Central Nervous System Diseases
D007088,Illusions,Illusion| Illusions,C10.597.606.762.400,Neurologic Manifestations
D007177,Inappropriate ADH Syndrome,"Schwartz Bartter Syndrome| Inappropriate Vasopressin Secretion Syndrome| SIADH| Syndrome, Inappropriate ADH| Inappropriate ADH Syndrome| Antidiuretic Hormone, Inappropriate Secretion| Syndrome of Inappropriate ADH (SIADH) Secretion| Schwartz-Bartter Syndrome| Syndrome, Schwartz-Bartter| ADH Syndrome, Inappropriate",C10.228.140.617.738.320,Central Nervous System Diseases
D007319,Sleep Initiation and Maintenance Disorders,Sleep Initiation and Maintenance Disorders| DIMS (Disorders of Initiating and Maintaining Sleep)| Disorders of Initiating and Maintaining Sleep,C10.886.425.800.800,Sleep Wake Disorders
D007331,Insulin Coma,"Coma, Insulin| Insulin Coma",C10.597.606.358.800.200.600,Neurologic Manifestations
D007562,Creutzfeldt-Jakob Syndrome,"Jakob-Creutzfeldt Disease| CJD (Creutzfeldt-Jakob Disease)| Encephalopathy, Subacute Spongiform| CJD (Creutzfeldt Jakob Disease)| Jakob Creutzfeldt Disease| Creutzfeldt Jacob Disease| Spongiform Encephalopathy, Subacute| Disease, Jakob-Creutzfeldt| Syndrome, Creutzfeldt-Jakob| Disease, Creutzfeldt-Jakob| Jakob-Creutzfeldt Syndrome| Creutzfeldt Jakob Disease| Creutzfeldt-Jakob Syndrome| Disease, Creutzfeldt Jacob| Syndrome, Jakob-Creutzfeldt| Spongiform Encephalopathies, Subacute| Jacob Disease, Creutzfeldt| Creutzfeldt Jakob Syndrome| Subacute Spongiform Encephalopathies| Subacute Spongiform Encephalopathy| Encephalopathies, Subacute Spongiform| Creutzfeldt-Jakob Disease| Jakob Creutzfeldt Syndrome",C10.228.228.800.230| C10.228.140.380.165,Central Nervous System Diseases
D007572,Jaw Fractures,"Fracture, Jaw| Fractured Bone of Jaw| Jaw Fracture| Jaw Fractures| Jaw Fractured Bones| Jaw Fractured Bone",C10.900.300.284.500.400,"Trauma, Nervous System"
D007625,Kearns-Sayre Syndrome,"Kearns-Sayre Mitochondrial Cytopathies| Kearns Sayre Syndrome| Oculocraniosomatic Syndromes| Kearns Sayre Shy Daroff Syndrome| Chronic Progressive External Ophthalmoplegia with Myopathy| CPEO with Myopathies| Syndromes, Ophthalmoplegia-Plus| Kearns-Sayre-Shy-Daroff Syndrome| Cytopathies, Kearns-Sayre Mitochondrial| Kearns Sayre Mitochondrial Cytopathy| Mitochondrial Cytopathy, Kearns-Sayre| Ophthalmoplegia-Plus Syndromes| Kearns-Sayre Mitochondrial Cytopathy| Kearn-Sayre Mitochondrial Cytopathy| Syndrome, Kearns'| Myopathy, CPEO with| Ophthalmoplegia Plus Syndrome| Cytopathy, Kearn-Sayre Mitochondrial| Syndrome, Kearns-Sayre| Ophthalmoplegia-Plus Syndrome| Mitochondrial Cytopathy, Kearn-Sayre| Syndrome, Oculocraniosomatic| Cpeo With Ragged-Red Fibers| Kearns Syndrome| Cytopathy, Kearns-Sayre Mitochondrial| Kearn Sayre Mitochondrial Cytopathy| Syndrome, Kearns-Sayre-Shy-Daroff| Ophthalmoplegia, Pigmentary Degeneration of Retina, and Cardiomyopathy| Ophthalmoplegia, Progressive External, With Ragged-Red Fibers| Mitochondrial Cytopathies, Kearns-Sayre| Myopathies, CPEO with| Syndrome, Kearns| Kearns-Sayre Syndrome| Syndrome, Ophthalmoplegia-Plus| Sayre Syndrome, Kearns| Syndrome, Kearns Sayre| CPEO with Ragged Red Fibers| Kearn Syndrome| Syndrome, Ophthalmoplegia Plus| Oculocraniosomatic Syndrome| Ophthalmoplegia Plus Syndromes| CPEO with Myopathy| Kearns' Syndrome",C10.292.562.750.250.500| C10.597.622.447.511.500| C10.668.491.500.700.500,Cranial Nerve Diseases
D007647,Kernicterus,"Encephalopathy, Hyperbilirubinemic| Kernicterus| Encephalopathy, Bilirubin| Hyperbilirubinemic Encephalopathy| Bilirubin Encephalopathy| Bilirubin Encephalopathies| Encephalopathies, Hyperbilirubinemic| Hyperbilirubinemic Encephalopathies| Encephalopathies, Bilirubin",C10.228.140.163.480,Central Nervous System Diseases
D007706,Menkes Kinky Hair Syndrome,"Menkes Syndrome| Deficiency, X-Linked Copper| Disease, Copper Transport| Copper Deficiencies, X-Linked| Copper Transport Diseases| Diseases, Steely Hair| Diseases, Menkes'| Diseases, Kinky Hair| Copper Transport Disease| Syndromes, Steely Hair| X Linked Copper Deficiency| Syndrome, Menkea| Transport Diseases, Copper| Hair Diseases, Steely| Menkes Kinky Hair Syndrome| X-Linked Copper Deficiency| Menkes Disease| Steely Hair Syndromes| Syndromes, Menkea| Menkes' Diseases| Steely Hair Disease| Hypocupremias, Congenital| Transport Disease, Copper| Hair Diseases, Kinky| Disease, Steely Hair| Menkes' Disease| Kinky Hair Diseases| Congenital Hypocupremias| Menkea Syndromes| Copper Deficiency, X-Linked| Kinky Hair Disease| Steely Hair Syndrome| Steely Hair Diseases| Hypocupremia, Congenital| Menkea Syndrome| Deficiencies, X-Linked Copper| Syndrome, Steely Hair| X-Linked Copper Deficiencies| Diseases, Copper Transport| Kinky Hair Syndrome| Congenital Hypocupremia",C10.597.606.360.455.687| C10.228.140.163.100.540,Neurologic Manifestations
D007729,Kuru,"Kuru| Encephalopathy, Kuru| Kuru Encephalopathy",C10.228.228.800.435| C10.574.843.625,Central Nervous System Diseases
D007805,Language Development Disorders,"Language Disorders, Developmental| Developmental Language Disorders| Language Development Disorder| Development Disorder, Language| Developmental Disorder, Speech or Language| Developmental Language Disorder| Speech or Language, Developmental Disorder| Language Development Disorders| Disorders, Language Development| Language Disorder, Developmental| Disorder, Language Development",C10.597.606.150.500.550,Neurologic Manifestations
D007806,Language Disorders,Language Disorder| Language Disorders,C10.597.606.150.500,Neurologic Manifestations
D007849,Laurence-Moon Syndrome,"Syndrome, Laurence-Moon-Biedl| Laurence-Moon Syndrome| Laurence Moon Syndrome| Laurence-Moon-Biedl Syndrome| Syndrome, Laurence-Moon| Laurence Moon Biedl Syndrome",C10.228.140.617.500,Central Nervous System Diseases
D007859,Learning Disabilities,"Learning Disabilities| Disabilities, Learning| Learning Disability| Disability, Learning",C10.597.606.150.550,Neurologic Manifestations
D007888,Leigh Disease,"Necrotizing Encephalopathy, Subacute| Encephalomyelopathy, Subacute Necrotizing| Necrotizing Encephalomyelopathies, Subacute| Necrotizing Encephalomyelitides, Subacute| Encephalopathy, Subacute Necrotizing| Encephalomyelitides, Subacute Necrotizing| Leigh Syndrome| Necrotizing Encephalomyelopathy, Subacute| Subacute Necrotizing Encephalopathy| Necrotizing Encephalomyelitis, Subacute| Subacute Necrotizing Encephalomyelopathy| Subacute Necrotizing Encephalomyelitis| Necrotizing Encephalopathies, Subacute| Leigh's Disease| Subacute Necrotizing Encephalopathies| Leighs Disease| Leigh Disease| Encephalomyelitis, Subacute Necrotizing| Encephalopathies, Subacute Necrotizing| Encephalomyelopathies, Subacute Necrotizing| Subacute Necrotizing Encephalomyelitides| Disease, Leigh's| Subacute Necrotizing Encephalomyelopathies",C10.228.140.163.100.412,Central Nervous System Diseases
D007926,Lesch-Nyhan Syndrome,"Phosphoribosyltransferase Deficiency, Guanine| Choreoathetosis Self Mutilation Syndrome| Deficiencies, Hypoxanthine Phosphoribosyltransferase| HGPRT Deficiencies| Hypoxanthine Guanine Phosphoribosyltransferase 1 Deficiency| Lesch Nyhan Disease| Hypoxanthine Phosphoribosyltransferase Deficiencies| Lesch Nyhan Syndrome| HPRT Deficiencies, Complete| Phosphoribosyltransferase Deficiencies, Guanine| Deficiency Diseases, Hypoxanthine-Phosphoribosyl-Transferase| Syndromes, Choreoathetosis Self-Mutilation| Primary Hyperuricemia Syndromes| Complete HPRT Deficiencies| Juvenile Hyperuricemia Syndromes| Complete Hypoxanthine Guanine Phosphoribosyltransferase Deficiency| Choreoathetosis Self Mutilation Hyperuricemia Syndrome| HPRT Deficiencies, Total| Syndrome, Primary Hyperuricemia| Total Hypoxanthine Guanine Phosphoribosyl Transferase Deficiency| Phosphoribosyltransferase Deficiency, Hypoxanthine| X-Linked Hyperuricemia| X-Linked Hyperuricemias| HGPRT Deficiency| Guanine Phosphoribosyltransferase Deficiency| Deficiency, HGPRT| Hyperuricemia, X-Linked Primary| Hyperuricemia Syndromes, Juvenile| Hyperuricemias, X-Linked Primary| Syndrome, Juvenile Hyperuricemia| Self-Mutilation Syndromes, Choreoathetosis| Hyperuricemias, X-Linked| HPRT Deficiency, Complete| Syndromes, Primary Hyperuricemia| Total Hypoxanthine-Guanine Phosphoribosyl Transferase Deficiency| Lesch-Nyhan Syndrome| Complete Hypoxanthine-Guanine Phosphoribosyltransferase Deficiency| Hypoxanthine-Phosphoribosyl-Transferase Deficiency Disease| Phosphoribosyltransferase Deficiencies, Hypoxanthine| Deficiency of Guanine Phosphoribosyltransferase| Deficiency, Complete HPRT| Choreoathetosis Self-Mutilation Hyperuricemia Syndrome| Deficiency Disease, Complete HGPRT| Hyperuricemia Syndromes, Primary| X Linked Hyperuricemia| Juvenile Gout, Choreoathetosis, Mental Retardation Syndrome| Hypoxanthine Phosphoribosyltransferase Deficiency| Deficiency Disease, Hypoxanthine Phosphoribosyl Transferase| Hypoxanthine Guanine Phosphoribosyltransferase Deficiency| Lesch-Nyhan Disease| X Linked Primary Hyperuricemia| Deficiencies, Total HPRT| Deficiencies, Complete HPRT| Hyperuricemia Syndrome, Primary| Complete HGPRT Deficiency Disease| Deficiency of Hypoxanthine Phosphoribosyltransferase| HGPRT Deficiency Disease, Complete| Juvenile Hyperuricemia Syndrome| Hyperuricemia, X-Linked| X-Linked Primary Hyperuricemia| Deficiency, Total HPRT| Deficiencies, HGPRT| Syndromes, Juvenile Hyperuricemia| Primary Hyperuricemia, X-Linked| Primary Hyperuricemia Syndrome| Hypoxanthine-Phosphoribosyl-Transferase Deficiency Diseases| X-Linked Primary Hyperuricemias| Hypoxanthine Phosphoribosyl Transferase Deficiency Disease| Choreoathetosis Self-Mutilation Syndromes| Total HPRT Deficiency| Choreoathetosis Self-Mutilation Syndrome| Primary Hyperuricemias, X-Linked| Total HPRT Deficiencies| HPRT Deficiency, Total| Syndrome, Choreoathetosis Self-Mutilation| Complete HPRT Deficiency| Deficiency Disease, Hypoxanthine-Phosphoribosyl-Transferase| Hyperuricemia Syndrome, Juvenile| Self-Mutilation Syndrome, Choreoathetosis| Guanine Phosphoribosyltransferase Deficiencies| Deficiency, Hypoxanthine Phosphoribosyltransferase",C10.597.606.360.455.625| C10.228.140.163.100.425,Neurologic Manifestations
