Neurological Disease,Source,Disease Class
Cardiac arrest due to anaesthesia during labour and delivery,ICD,Diseases of the nervous system
Cardiac arrest due to anaesthesia during the puerperium,ICD,Diseases of the nervous system
Cardiac complications of anaesthesia during labour or delivery,ICD,Diseases of the nervous system
Cardiac complications of anaesthesia during pregnancy,ICD,Diseases of the nervous system
Cardiac complications of anaesthesia during the puerperium,ICD,Diseases of the nervous system
Cardiac conduit failure,ICD,Diseases of the nervous system
Cardiac failure due to anaesthesia during labour and delivery,ICD,Diseases of the nervous system
Cardiac failure due to anaesthesia during pregnancy,ICD,Diseases of the nervous system
Cardiac failure due to anaesthesia during the puerperium,ICD,Diseases of the nervous system
Cardiac hypertrophy with active or acute rheumatic chorea,ICD,Diseases of the nervous system
"Cardiomyopathies, Glycogen Storage",MeSH,Neurologic Manifestations
"Cardiomyopathy, Dilated, 3B",MeSH,Neuromuscular Diseases
"Cardiomyopathy, Dilated, X-Linked",MeSH,Neuromuscular Diseases
"Cardiomyopathy, Glycogen Storage",MeSH,Neurologic Manifestations
Cardiophobia,ICD,Diseases of the nervous system
Carotid Arterial Disease,MeSH,Central Nervous System Diseases
Carotid Arterial Diseases,MeSH,Central Nervous System Diseases
"Carotid Arteriopathies, Traumatic",MeSH,"Trauma, Nervous System"
"Carotid Arteriopathy, Traumatic",MeSH,"Trauma, Nervous System"
Carotid Artery Cavernous Sinus Fistula,MeSH,Central Nervous System Diseases
Carotid Artery Disease,MeSH,Central Nervous System Diseases
Carotid Artery Diseases,MeSH,Central Nervous System Diseases
Carotid Artery Disorder,MeSH,Central Nervous System Diseases
Carotid Artery Disorders,MeSH,Central Nervous System Diseases
"Carotid Artery Dissection, Internal",MeSH,Central Nervous System Diseases
Carotid Artery Injuries,MeSH,"Trauma, Nervous System"
Carotid Artery Injury,MeSH,"Trauma, Nervous System"
Carotid Artery Narrowing,MeSH,Central Nervous System Diseases
Carotid Artery Narrowings,MeSH,Central Nervous System Diseases
Carotid Artery Stenoses,MeSH,Central Nervous System Diseases
Carotid Artery Stenosis,MeSH,Central Nervous System Diseases
Carotid Artery Thromboses,MeSH,Central Nervous System Diseases
Carotid Artery Thrombosis,MeSH,Central Nervous System Diseases
Carotid Artery Trauma,MeSH,"Trauma, Nervous System"
"Carotid Artery, Internal, Dissection",MeSH,Central Nervous System Diseases
Carotid Artery-Cavernous Sinus Fistula,MeSH,Central Nervous System Diseases
Carotid Cavernous Fistula,MeSH,Central Nervous System Diseases
Carotid Cavernous Fistulas,MeSH,Central Nervous System Diseases
Carotid Cavernous Sinus Fistula,MeSH,Central Nervous System Diseases
Carotid Stenoses,MeSH,Central Nervous System Diseases
Carotid Stenosis,MeSH,Central Nervous System Diseases
Carotid Thrombosis,MeSH,Central Nervous System Diseases
Carotid artery haematoma,ICD,Diseases of the nervous system
Carotid artery syndrome,ICD,Diseases of the nervous system
"Carotid artery syndrome, complete resolution within 1 to 24 hours",ICD,Diseases of the nervous system
"Carotid artery syndrome, complete resolution within less than 1 hour",ICD,Diseases of the nervous system
Carotid cavernous fistula,ICD,Diseases of the nervous system
Carotid sinus syncope,ICD,Diseases of the nervous system
Carotid siphon and bifurcation aneurysm,ICD,Diseases of the nervous system
Carotid-Cavernous Sinus Fistula,MeSH,Central Nervous System Diseases
Carotid-Cavernous Sinus Fistulas,MeSH,Central Nervous System Diseases
Carpal Tunnel Syndrome,MeSH,Neuromuscular Diseases
Carpal Tunnel Syndromes,MeSH,Neuromuscular Diseases
Carpal tunnel syndrome,ICD,Diseases of the nervous system
Carpopedal spasm,ICD,Diseases of the nervous system
Cassava poisoning,ICD,Diseases of the nervous system
Castleman disease with IgM-associated neuropathy,ICD,Diseases of the nervous system
Cat Cry Syndrome,MeSH,Neurologic Manifestations
Cat Cry Syndromes,MeSH,Neurologic Manifestations
Catalepsies,MeSH,Neurologic Manifestations
Catalepsy,MeSH,Neurologic Manifestations
Cataleptic Attack,MeSH,Sleep Wake Disorders
Cataleptic Attacks,MeSH,Sleep Wake Disorders
Cataplexy,MeSH,Sleep Wake Disorders
Cataract due to late-delayed brain irradiation,ICD,Diseases of the nervous system
Catatonia,MeSH|ICD,Diseases of the nervous system|Neurologic Manifestations
Catatonia associated with another mental disorder,ICD,Diseases of the nervous system
Catatonia induced by specified psychoactive substance or medication,ICD,Diseases of the nervous system
Catatonia induced by substances or medications,ICD,Diseases of the nervous system
Catatonia induced by unknown or unspecified psychoactive substance,ICD,Diseases of the nervous system
Catatonias,MeSH,Neurologic Manifestations
Cauda Equina Syndrome,MeSH,Neuromuscular Diseases
Cauda Equina Syndromes,MeSH,Neuromuscular Diseases
Cauda equina compression due to inflammation,ICD,Diseases of the nervous system
Cauda equina compression due to spinal injury,ICD,Diseases of the nervous system
Cauda equina syndrome,ICD,Diseases of the nervous system
Cauda equina syndrome due to infection,ICD,Diseases of the nervous system
Cauda equina syndrome due to intervertebral disc herniation,ICD,Diseases of the nervous system
Cauda equina syndrome due to medical procedure,ICD,Diseases of the nervous system
Cauda equina syndrome due to spinal stenosis,ICD,Diseases of the nervous system
Cauda equina syndrome due to tumour,ICD,Diseases of the nervous system
Cauda equina syndrome due to vascular disorder,ICD,Diseases of the nervous system
"Cauda equina syndrome, complete",ICD,Diseases of the nervous system
"Cauda equina syndrome, incomplete",ICD,Diseases of the nervous system
Causalgia,MeSH,Autonomic Nervous System Diseases
Causalgia Syndrome,MeSH,Autonomic Nervous System Diseases
Causalgia Syndromes,MeSH,Autonomic Nervous System Diseases
"Cavernous Fistula, Carotid",MeSH,Central Nervous System Diseases
"Cavernous Hemangioma, Central Nervous System",MeSH,Nervous System Malformations
Cavernous Sinus Thromboses,MeSH,Central Nervous System Diseases
Cavernous Sinus Thrombosis,MeSH,Central Nervous System Diseases
Cavernous haemangioma causing spinal cord compression,ICD,Diseases of the nervous system
Cavernous sinus injury,ICD,Diseases of the nervous system
Cavernous sinus syndromes,ICD,Diseases of the nervous system
"Cell Leukodystrophies, Globoid",MeSH,Demyelinating Diseases
"Cell Leukodystrophy, Globoid",MeSH,Demyelinating Diseases
"Cell Leukoencephalopathies, Globoid",MeSH,Demyelinating Diseases
"Cell Leukoencephalopathy, Globoid",MeSH,Demyelinating Diseases
Central Alveolar Hypoventilation,MeSH,Sleep Wake Disorders
Central Alveolar Hypoventilation Syndrome,MeSH,Sleep Wake Disorders
Central Apnea,MeSH,Sleep Wake Disorders
Central Apneas,MeSH,Sleep Wake Disorders
Central Auditory Disease,MeSH,Central Nervous System Diseases
Central Auditory Diseases,MeSH,Central Nervous System Diseases
Central Auditory Dysfunction,MeSH,Central Nervous System Diseases
Central Auditory Pathway Disorders,MeSH,Central Nervous System Diseases
Central Autonomic Nervous System Diseases,MeSH,Autonomic Nervous System Diseases
Central Cord Injury Syndrome,MeSH,Central Nervous System Diseases
Central Cord Syndrome,MeSH,Central Nervous System Diseases
Central Core Disease,MeSH,Neuromuscular Diseases
Central Core Disease of Muscle,MeSH,Neuromuscular Diseases
Central Core Diseases,MeSH,Neuromuscular Diseases
Central Core Myopathies,MeSH,Neuromuscular Diseases
Central Core Myopathy,MeSH,Neuromuscular Diseases
Central European tick-borne encephalitis,ICD,Diseases of the nervous system
Central Hearing Loss,MeSH,Neurologic Manifestations
Central NF2 Neurofibromatoses,MeSH,Cranial Nerve Diseases
Central NF2 Neurofibromatosis,MeSH,Cranial Nerve Diseases
Central Nervous System AIDS Arteritis,MeSH,Central Nervous System Diseases
Central Nervous System Angiitis,MeSH,Central Nervous System Diseases
Central Nervous System Bacterial Infections,MeSH,Central Nervous System Diseases
Central Nervous System Cavernous Hemangioma,MeSH,Nervous System Malformations
Central Nervous System Cysts,MeSH,Nervous System Malformations
"Central Nervous System Demyelinating Diseases, Hereditary",MeSH,Neurodegenerative Diseases
Central Nervous System Demyelinating Hereditary Diseases,MeSH,Neurodegenerative Diseases
Central Nervous System Disease,MeSH,Central Nervous System Diseases
Central Nervous System Diseases,MeSH,Central Nervous System Diseases
Central Nervous System Disorder,MeSH,Central Nervous System Diseases
Central Nervous System Disorders,MeSH,Central Nervous System Diseases
"Central Nervous System Disorders, Intracranial",MeSH,Central Nervous System Diseases
Central Nervous System Fungal Infections,MeSH,Central Nervous System Diseases
Central Nervous System Helminthiasis,MeSH,Central Nervous System Diseases
Central Nervous System Hereditary Demyelinating Diseases,MeSH,Neurodegenerative Diseases
Central Nervous System Infection,MeSH,Central Nervous System Diseases
Central Nervous System Infections,MeSH,Central Nervous System Diseases
Central Nervous System Intracranial Disorders,MeSH,Central Nervous System Diseases
Central Nervous System Lupus,MeSH,Central Nervous System Diseases
Central Nervous System Lupus Vasculitis,MeSH,Central Nervous System Diseases
Central Nervous System Mycoses,MeSH,Central Nervous System Diseases
Central Nervous System Neoplasm,MeSH,Nervous System Neoplasms
Central Nervous System Neoplasms,MeSH,Nervous System Neoplasms
Central Nervous System Parasitic Infections,MeSH,Central Nervous System Diseases
Central Nervous System Protozoal Infections,MeSH,Central Nervous System Diseases
Central Nervous System Schistosomiasis,MeSH,Central Nervous System Diseases
Central Nervous System Syphilis,MeSH,Central Nervous System Diseases
Central Nervous System Systemic Lupus Erythematosis,MeSH,Central Nervous System Diseases
Central Nervous System Tuberculosis,MeSH,Central Nervous System Diseases
Central Nervous System Tumor,MeSH,Nervous System Neoplasms
Central Nervous System Tumors,MeSH,Nervous System Neoplasms
Central Nervous System Vascular Anomalies,MeSH,Nervous System Malformations
Central Nervous System Vascular Malformations,MeSH,Nervous System Malformations
Central Nervous System Vasculitis,MeSH,Central Nervous System Diseases
Central Nervous System Venous Angioma,MeSH,Nervous System Malformations
Central Nervous System Viral Diseases,MeSH,Central Nervous System Diseases
Central Nervous System Viral Infections,MeSH,Central Nervous System Diseases
Central Neurofibromatoses,MeSH,Cranial Nerve Diseases
Central Neurofibromatosis,MeSH,Cranial Nerve Diseases
Central Pontine Myelinoclasis,MeSH,Demyelinating Diseases
Central Pontine Myelinolysis,MeSH,Demyelinating Diseases
Central Sleep Apnea,MeSH,Sleep Wake Disorders
Central Sleep Apnea Syndrome,MeSH,Sleep Wake Disorders
Central Sleep Apneas,MeSH,Sleep Wake Disorders
Central Sleep Disordered Breathing,MeSH,Sleep Wake Disorders
Central Sleep-Disordered Breathing,MeSH,Sleep Wake Disorders
Central Sleep-Disordered Breathings,MeSH,Sleep Wake Disorders
Central Spinal Cord Syndrome,MeSH,Central Nervous System Diseases
Central bilateral macrogyria,ICD,Diseases of the nervous system
Central cord syndrome of cervical spinal cord,ICD,Diseases of the nervous system
Central cord syndrome of cervical spinal cord at C1 level,ICD,Diseases of the nervous system
Central cord syndrome of cervical spinal cord at C2 level,ICD,Diseases of the nervous system
Central cord syndrome of cervical spinal cord at C3 level,ICD,Diseases of the nervous system
Central cord syndrome of cervical spinal cord at C4 level,ICD,Diseases of the nervous system
Central cord syndrome of cervical spinal cord at C5 level,ICD,Diseases of the nervous system
Central cord syndrome of cervical spinal cord at C6 level,ICD,Diseases of the nervous system
Central cord syndrome of cervical spinal cord at C7 level,ICD,Diseases of the nervous system
Central cord syndrome of cervical spinal cord at C8 level,ICD,Diseases of the nervous system
"Central cord syndrome of cervical spinal cord, multiple levels",ICD,Diseases of the nervous system
Central cord syndrome of lumbar spinal cord,ICD,Diseases of the nervous system
Central cord syndrome of lumbar spinal cord at L1 level,ICD,Diseases of the nervous system
Central cord syndrome of lumbar spinal cord at L2 level,ICD,Diseases of the nervous system
Central cord syndrome of lumbar spinal cord at L3 level,ICD,Diseases of the nervous system
Central cord syndrome of lumbar spinal cord at L4 level,ICD,Diseases of the nervous system
Central cord syndrome of lumbar spinal cord at L5 level,ICD,Diseases of the nervous system
"Central cord syndrome of lumbar spinal cord, multiple levels",ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T1 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T10 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T11 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T12 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T2 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T3 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T4 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T5 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T6 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T7 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T8 level,ICD,Diseases of the nervous system
Central cord syndrome of thoracic spinal cord at T9 level,ICD,Diseases of the nervous system
"Central cord syndrome of thoracic spinal cord, multiple levels NOS",ICD,Diseases of the nervous system
Central core disease,ICD,Diseases of the nervous system
Central demyelination of corpus callosum,ICD,Diseases of the nervous system
Central line infection NOS,ICD,Diseases of the nervous system
Central nervous system complications of anaesthesia during labour or delivery,ICD,Diseases of the nervous system
Central nervous system complications of anaesthesia during pregnancy,ICD,Diseases of the nervous system
Central nervous system complications of anaesthesia during the puerperium,ICD,Diseases of the nervous system
Central nervous system demyelination due to Lyme borreliosis,ICD,Diseases of the nervous system
Central nervous system demyelination due to Whipple’s disease,ICD,Diseases of the nervous system
Central neuropathic pain,ICD,Diseases of the nervous system
Central pontine myelinolysis,ICD,Diseases of the nervous system
Central sleep apnoea due to a medical condition with Cheyne-Stokes breathing,ICD,Diseases of the nervous system
Central sleep apnoea due to a medical condition without Cheyne-Stokes breathing,ICD,Diseases of the nervous system
Central sleep apnoea due to a medication or substance,ICD,Diseases of the nervous system
Central sleep apnoea due to high-altitude periodic breathing,ICD,Diseases of the nervous system
Central sleep apnoeas,ICD,Diseases of the nervous system
Central transtentorial herniation,ICD,Diseases of the nervous system
Centronuclear myopathy,ICD,Diseases of the nervous system
Centronuclear myopathy with type I fibre hypotrophy,ICD,Diseases of the nervous system
"Cephalalgia, Trigeminal Autonomic",MeSH,Central Nervous System Diseases
"Cephalalgias, Trigeminal Autonomic",MeSH,Central Nervous System Diseases
Cephalgia Syndrome,MeSH,Central Nervous System Diseases
Cephalgia Syndromes,MeSH,Central Nervous System Diseases
"Cephalgia, Histamine",MeSH,Central Nervous System Diseases
"Cephalgia, Vascular",MeSH,Central Nervous System Diseases
"Cephalgias, Histamine",MeSH,Central Nervous System Diseases
"Cephalgias, Vascular",MeSH,Central Nervous System Diseases
Cephalhaematocele of fetus or newborn due to birth injury,ICD,Diseases of the nervous system
"Cephalhaematocele of fetus or newborn, nontraumatic",ICD,Diseases of the nervous system
Cephalocele,MeSH|ICD,Diseases of the nervous system|Nervous System Malformations
Cephaloceles,MeSH,Nervous System Malformations
Cephalohaematoma deformans of Schüller,ICD,Diseases of the nervous system
Cephalohaematoma due to birth injury,ICD,Diseases of the nervous system
Ceramidase Deficiencies,MeSH,Central Nervous System Diseases
Ceramidase Deficiency,MeSH,Central Nervous System Diseases
"Ceramidase Deficiency, Acid",MeSH,Central Nervous System Diseases
Ceramide Trihexosidase Deficiency,MeSH,Central Nervous System Diseases
Cerebellar Ataxia,MeSH,Central Nervous System Diseases
Cerebellar Ataxias,MeSH,Central Nervous System Diseases
"Cerebellar Ataxias, Dentate",MeSH,Central Nervous System Diseases
"Cerebellar Atrophy, Dentate",MeSH,Central Nervous System Diseases
"Cerebellar Degeneration, Paraneoplastic",MeSH,Neurodegenerative Diseases
Cerebellar Disease,MeSH,Central Nervous System Diseases
Cerebellar Diseases,MeSH,Central Nervous System Diseases
Cerebellar Disorder,MeSH,Central Nervous System Diseases
Cerebellar Disorders,MeSH,Central Nervous System Diseases
Cerebellar Dysfunction,MeSH,Central Nervous System Diseases
Cerebellar Dysfunctions,MeSH,Central Nervous System Diseases
Cerebellar Dyssynergia,MeSH,Central Nervous System Diseases
"Cerebellar Dyssynergia, Myoclonic",MeSH,Central Nervous System Diseases
Cerebellar Dyssynergias,MeSH,Central Nervous System Diseases
"Cerebellar Dyssynergias, Myoclonic",MeSH,Central Nervous System Diseases
Cerebellar Incoordination,MeSH,Central Nervous System Diseases
Cerebellar Incoordinations,MeSH,Central Nervous System Diseases
Cerebellar Neoplasm,MeSH,Nervous System Neoplasms
Cerebellar Neoplasms,MeSH,Nervous System Neoplasms
Cerebellar Syndrome,MeSH,Central Nervous System Diseases
"Cerebellar Syndrome, Paraneoplastic",MeSH,Neurodegenerative Diseases
Cerebellar Syndromes,MeSH,Central Nervous System Diseases
"Cerebellar Syndromes, Paraneoplastic",MeSH,Neurodegenerative Diseases
Cerebellar Tumor,MeSH,Nervous System Neoplasms
Cerebellar Tumors,MeSH,Nervous System Neoplasms
Cerebellar abscess,ICD,Diseases of the nervous system
Cerebellar contusion due to birth injury,ICD,Diseases of the nervous system
Cerebellar cortical degeneration,ICD,Diseases of the nervous system
Cerebellar degeneration due to chronic alcoholism,ICD,Diseases of the nervous system
Cerebellar granuloma,ICD,Diseases of the nervous system
Cerebellar haemorrhage,ICD,Diseases of the nervous system
Cerebellar haemorrhage due to birth injury,ICD,Diseases of the nervous system
Cerebellar haemorrhage of fetus or newborn,ICD,Diseases of the nervous system
Cerebellar hypoplasia - tapetoretinal degeneration,ICD,Diseases of the nervous system
Cerebellar infectious cyst,ICD,Diseases of the nervous system
"Cerebellar nontraumatic, hemispheres or vermis or posterior fossa haemorrhage of fetus or newborn",ICD,Diseases of the nervous system
Cerebellar stroke syndrome,ICD,Diseases of the nervous system
Cerebellar structural developmental anomalies,ICD,Diseases of the nervous system
Cerebellar tonsillar herniation,ICD,Diseases of the nervous system
"Cerebello-Retinal Angiomatoses, Familial",MeSH,Neurocutaneous Syndromes
"Cerebello-Retinal Angiomatosis, Familial",MeSH,Neurocutaneous Syndromes
Cerebellopontine cyst,ICD,Diseases of the nervous system
"Cerebelloretinal Angiomatoses, Familial",MeSH,Neurocutaneous Syndromes
"Cerebelloretinal Angiomatosis, Familial",MeSH,Neurocutaneous Syndromes
Cerebellum Disease,MeSH,Central Nervous System Diseases
Cerebellum Diseases,MeSH,Central Nervous System Diseases
Cerebellum degeneration,ICD,Diseases of the nervous system
Cerebellum hemiatrophy,ICD,Diseases of the nervous system
Cerebellum injury,ICD,Diseases of the nervous system
Cerebral Amyloid Angiopathies,MeSH,Central Nervous System Diseases
Cerebral Amyloid Angiopathy,MeSH,Central Nervous System Diseases
"Cerebral Amyloid Angiopathy, Familial",MeSH,Central Nervous System Diseases
Cerebral Arterial Disease,MeSH,Central Nervous System Diseases
Cerebral Arterial Diseases,MeSH,Central Nervous System Diseases
Cerebral Arteriopathy with Subcortical Infarcts and Leukoencephalopathy,MeSH,Central Nervous System Diseases
Cerebral Artery Disease,MeSH,Central Nervous System Diseases
Cerebral Artery Diseases,MeSH,Central Nervous System Diseases
Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy,MeSH,Central Nervous System Diseases
Cerebral Beriberi,MeSH,Central Nervous System Diseases
Cerebral Brain Hemorrhage,MeSH,Central Nervous System Diseases
Cerebral Brain Hemorrhages,MeSH,Central Nervous System Diseases
Cerebral Concussion,MeSH,"Trauma, Nervous System"
Cerebral Concussions,MeSH,"Trauma, Nervous System"
"Cerebral Hemispheres, Absence, Congenital",MeSH,Nervous System Malformations
Cerebral Hemorrhage,MeSH,Central Nervous System Diseases
"Cerebral Hemorrhage, Traumatic",MeSH,"Trauma, Nervous System"
Cerebral Hemorrhages,MeSH,Central Nervous System Diseases
"Cerebral Hemorrhages, Traumatic",MeSH,"Trauma, Nervous System"
Cerebral Hernia,MeSH,Nervous System Malformations
Cerebral Hernias,MeSH,Nervous System Malformations
Cerebral Hypoxia,MeSH,Central Nervous System Diseases
Cerebral Infarct,MeSH,Central Nervous System Diseases
Cerebral Infarction,MeSH,Central Nervous System Diseases
"Cerebral Infarction, Middle Cerebral Artery",MeSH,Central Nervous System Diseases
Cerebral Infarctions,MeSH,Central Nervous System Diseases
Cerebral Infarcts,MeSH,Central Nervous System Diseases
"Cerebral Injuries, Diffuse",MeSH,Central Nervous System Diseases
"Cerebral Injury, Diffuse",MeSH,Central Nervous System Diseases
"Cerebral Intraparenchymal Hemorrhage, Traumatic",MeSH,"Trauma, Nervous System"
Cerebral Intraventricular Haemorrhage,MeSH,Central Nervous System Diseases
Cerebral Intraventricular Haemorrhages,MeSH,Central Nervous System Diseases
Cerebral Intraventricular Hemorrhage,MeSH,Central Nervous System Diseases
Cerebral Intraventricular Hemorrhages,MeSH,Central Nervous System Diseases
Cerebral Malaria,MeSH,Central Nervous System Diseases
Cerebral Microangiopathies,MeSH,Central Nervous System Diseases
Cerebral Microangiopathy,MeSH,Central Nervous System Diseases
Cerebral Micropolygyria,MeSH,Nervous System Malformations
Cerebral Micropolygyrias,MeSH,Nervous System Malformations
Cerebral Palsy,MeSH,Central Nervous System Diseases
Cerebral Parenchymal Hemorrhage,MeSH,Central Nervous System Diseases
"Cerebral Parenchymal Hemorrhage, Traumatic",MeSH,"Trauma, Nervous System"
Cerebral Parenchymal Hemorrhages,MeSH,Central Nervous System Diseases
Cerebral Polymicrogyria,MeSH,Nervous System Malformations
Cerebral Polymicrogyrias,MeSH,Nervous System Malformations
Cerebral Pseudoscleroses,MeSH,Central Nervous System Diseases
Cerebral Pseudosclerosis,MeSH,Central Nervous System Diseases
Cerebral Scleroses,MeSH,Neurocutaneous Syndromes
Cerebral Sclerosis,MeSH,Neurocutaneous Syndromes
"Cerebral Sclerosis, Diffuse",MeSH,Central Nervous System Diseases
Cerebral Small Vessel Disease,MeSH,Central Nervous System Diseases
Cerebral Small Vessel Diseases,MeSH,Central Nervous System Diseases
Cerebral Stroke,MeSH,Central Nervous System Diseases
Cerebral Strokes,MeSH,Central Nervous System Diseases
Cerebral Toxoplasmosis,MeSH,Central Nervous System Diseases
Cerebral Ventricle Neoplasm,MeSH,Central Nervous System Diseases
Cerebral Ventricle Neoplasms,MeSH,Central Nervous System Diseases
Cerebral Ventricle Tumor,MeSH,Central Nervous System Diseases
Cerebral Ventricle Tumors,MeSH,Central Nervous System Diseases
Cerebral Ventriculitides,MeSH,Central Nervous System Diseases
Cerebral Ventriculitis,MeSH,Central Nervous System Diseases
Cerebral amyloid angiopathy in association with a systemic amyloidopathy,ICD,Diseases of the nervous system
"Cerebral aneurysm, nonruptured",ICD,Diseases of the nervous system
Cerebral anoxia due to anaesthesia during labour and delivery,ICD,Diseases of the nervous system
Cerebral anoxia due to anaesthesia during pregnancy,ICD,Diseases of the nervous system
Cerebral anoxia due to anaesthesia during the puerperium,ICD,Diseases of the nervous system
Cerebral arteriovenous malformation,ICD,Diseases of the nervous system
Cerebral arteritis in infectious or parasitic diseases,ICD,Diseases of the nervous system
Cerebral arteritis in systemic lupus erythematosus,ICD,Diseases of the nervous system
"Cerebral arteritis, not elsewhere classified",ICD,Diseases of the nervous system
Cerebral atherosclerosis,ICD,Diseases of the nervous system
Cerebral cavernous malformation,ICD,Diseases of the nervous system
Cerebral contusion due to birth injury,ICD,Diseases of the nervous system
"Cerebral cranial injury, not elsewhere classified",ICD,Diseases of the nervous system
"Cerebral depression, not elsewhere classified",ICD,Diseases of the nervous system
Cerebral dysfunction,ICD,Diseases of the nervous system
Cerebral folate deficiency,ICD,Diseases of the nervous system
Cerebral haemorrhage due to birth injury,ICD,Diseases of the nervous system
Cerebral hyperaemia,ICD,Diseases of the nervous system
"Cerebral hypofunction, not elsewhere classified",ICD,Diseases of the nervous system
Cerebral ischaemia,ICD,Diseases of the nervous system
Cerebral ischaemic stroke,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to aortic arch embolism,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to atherosclerosis of anterior cerebral artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to atherosclerosis of basilar artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to atherosclerosis of carotid siphon,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to atherosclerosis of middle cerebral artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to atherosclerosis of posterior cerebral artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to atherosclerosis of vertebral artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to cardiac embolism,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to embolic occlusion,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to extracranial large artery atherosclerosis,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to global hypoperfusion with watershed infarct,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to hypercoagulable state,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to intracranial large artery atherosclerosis,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to multiple potential causes,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to other known cause,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to other non-atherosclerotic arteriopathy,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to paradoxical embolism,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to small artery occlusion,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to thrombus of extracranial large artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to thrombus of intracranial large artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to unspecified occlusion or stenosis of anterior cerebral artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to unspecified occlusion or stenosis of basilar artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to unspecified occlusion or stenosis of carotid siphon,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to unspecified occlusion or stenosis of extracranial large artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to unspecified occlusion or stenosis of intracranial large artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to unspecified occlusion or stenosis of middle cerebral artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to unspecified occlusion or stenosis of posterior cerebral artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke due to unspecified occlusion or stenosis of vertebral artery,ICD,Diseases of the nervous system
Cerebral ischaemic stroke in association with subarachnoid haemorrhage,ICD,Diseases of the nervous system
Cerebral ischaemic stroke of unknown cause,ICD,Diseases of the nervous system
Cerebral ischemic stroke from dissection,ICD,Diseases of the nervous system
Cerebral laceration during birth,ICD,Diseases of the nervous system
"Cerebral laceration during birth, with haemorrhage",ICD,Diseases of the nervous system
Cerebral leukodystrophy,ICD,Diseases of the nervous system
Cerebral meningeal cyst,ICD,Diseases of the nervous system
Cerebral meninges injury,ICD,Diseases of the nervous system
Cerebral meningitis,ICD,Diseases of the nervous system
Cerebral necrosis,ICD,Diseases of the nervous system
Cerebral oedema,ICD,Diseases of the nervous system
Cerebral oedema due to birth injury,ICD,Diseases of the nervous system
Cerebral palsy,ICD,Diseases of the nervous system
"Cerebral sclerosis, Diffuse, Metachromatic Form",MeSH,Central Nervous System Diseases
Cerebral stenosis or occlusion in infectious disease,ICD,Diseases of the nervous system
Cerebral structural developmental anomalies,ICD,Diseases of the nervous system
Cerebral vasoconstriction syndromes,ICD,Diseases of the nervous system
Cerebral venous thrombosis,ICD,Diseases of the nervous system
Cerebral venous thrombosis in pregnancy,ICD,Diseases of the nervous system
Cerebral venous thrombosis of cavernous sinus,ICD,Diseases of the nervous system
Cerebral venous thrombosis of cortical vein,ICD,Diseases of the nervous system
Cerebral venous thrombosis of multiple cerebral veins,ICD,Diseases of the nervous system
Cerebral venous thrombosis of other deep cerebral veins,ICD,Diseases of the nervous system
Cerebral venous thrombosis of sigmoid sinus,ICD,Diseases of the nervous system
Cerebral venous thrombosis of straight sinus,ICD,Diseases of the nervous system
